1.178.141.160    #AS12975   1.178.128.0/20     PS   PALTEL-AS - Palestine Telecommunications Company (PALTEL), PS
40.124.175.103   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.180.92    #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.186.156   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
41.157.105.92    #AS37168   41.157.96.0/20     ZA   Cell C (Pty) Ltd - Cell C (Pty) Ltd, ZA
41.216.182.77    #AS41745   41.216.182.0/24    ZA   FORTIS-AS - Baykov Ilya Sergeevich, RU
42.54.239.113    #AS4837    42.52.0.0/14       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
42.232.85.226    #AS4837    42.224.0.0/12      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
43.98.187.250    #AS45102   43.98.128.0/17     SG   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
43.135.142.221   #AS132203  43.135.128.0/18    SG   TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN
43.156.113.224   #AS132203  43.156.64.0/18     SG   TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN
43.204.144.106   #AS16509   43.204.0.0/15      US   AMAZON-02 - Amazon.com, Inc., US
43.228.157.8     #AS205759  43.228.157.0/24    PK   GHOSTYNETWORKS - Ghosty Networks LLC, US
43.228.157.9     #AS205759  43.228.157.0/24    PK   GHOSTYNETWORKS - Ghosty Networks LLC, US
43.228.157.10    #AS205759  43.228.157.0/24    PK   GHOSTYNETWORKS - Ghosty Networks LLC, US
44.204.116.190   #AS14618   44.192.0.0/11      US   AMAZON-AES - Amazon.com, Inc., US
44.215.219.236   #AS14618   44.192.0.0/11      US   AMAZON-AES - Amazon.com, Inc., US
45.9.148.244     #AS49447   45.9.148.0/24      DM   NICEIT - Nice IT Services Group Inc., DM
45.33.46.249     #AS63949   45.33.32.0/19      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.47.233.205    #AS11351   45.46.0.0/15       US   TWC-11351-NORTHEAST - Charter Communications Inc, US
45.55.158.168    #AS14061   45.55.128.0/18     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
45.63.4.69       #AS20473   45.63.0.0/20       US   AS-VULTR - The Constant Company, LLC, US
45.63.105.176    #AS20473   45.63.104.0/21     US   AS-VULTR - The Constant Company, LLC, US
45.77.187.54     #AS20473   45.77.184.0/21     US   AS-VULTR - The Constant Company, LLC, US
45.79.177.245    #AS63949   45.79.176.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.79.191.178    #AS63949   45.79.176.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.82.76.109     #AS212512  45.82.76.0/24      DE   DETAI - Detai Prosperous Technologies Limited, GB
45.91.64.6       #AS214664  45.91.64.0/24      RU   Buduschee - JSC Buduschee, RU
45.92.177.186    #AS49505   45.92.177.0/24     RU   SELECTEL - JSC Selectel, RU
45.135.193.105   #AS51396   45.135.193.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
45.135.194.10    #AS51396   45.135.194.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
