1.179.41.241     #AS12975   1.179.40.0/21      PS   PALTEL-AS - Palestine Telecommunications Company (PALTEL), PS
109.105.209.9    #AS21859   109.105.209.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.52   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.53   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.60   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.63   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.69   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.70   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.72   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
109.105.210.73   #AS21859   109.105.210.0/24   PT   ZEN-ECN - Zenlayer Inc, US
112.74.38.239    #AS37963   112.74.0.0/17      CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
112.94.253.138   #AS17622   112.94.128.0/17    CN   CNCGROUP-GZ - China Unicom Guangzhou network, CN
115.231.78.10    #AS58461   115.231.78.0/24    CN   CT-HangZhou-IDC - No.288,Fu-chun Road, CN
117.27.135.85    #AS133774  117.27.135.0/24    CN   CHINATELECOM-FUJIAN-FUZHOU-IDC1 - Fuzhou, CN
117.27.135.91    #AS133774  117.27.135.0/24    CN   CHINATELECOM-FUJIAN-FUZHOU-IDC1 - Fuzhou, CN
121.29.84.158    #AS4837    121.28.0.0/15      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
128.1.44.38      #AS135377  128.1.44.0/24      US   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
128.203.204.124  #AS8075    128.203.0.0/16     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
129.222.65.102   #AS14593   129.222.64.0/23    US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
129.222.137.128  #AS14593   129.222.136.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
132.243.28.118   #AS204154  132.243.28.0/23    AE   FIRST-SERVER-US-AS - FIRST SERVER LIMITED, GB
134.122.43.136   #AS14061   134.122.32.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
134.199.160.176  #AS14061   134.199.160.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
137.184.53.125   #AS14061   137.184.48.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
137.184.121.129  #AS14061   137.184.112.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
138.36.57.127    #AS52613   138.36.57.0/24     BR   AS52613 - GIGA MAIS FIBRA TELECOMUNICACOES S.A., BR
138.197.99.29    #AS14061   138.197.96.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
138.246.253.5    #AS12816   138.246.0.0/16     DE   MWN-AS - Leibniz-Rechenzentrum, DE
139.162.66.65    #AS63949   139.162.64.0/19    NL   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
140.150.232.52   #AS200307  140.150.232.0/24   US   ZYNOO-MNT - ZYNOO Web Services FZC LLC, AE
141.22.28.227    #AS680     141.22.0.0/16      DE   DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE
141.76.94.37     #AS680     141.76.0.0/16      DE   DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE
141.98.11.129    #AS209605  141.98.11.0/24     LT   hostbaltic - UAB Host Baltic, LT
141.98.83.48     #AS209588  141.98.83.0/24     PA   FLYSERVERS-ASN - Flyservers S.A., PA
141.212.121.192  #AS36375   141.212.0.0/16     US   UMICH-AS-5 - University of Michigan, US
