AS14061    IP: 159.65.127.31     PREFIX: 159.65.112.0/20      CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 159.89.51.193     PREFIX: 159.89.48.0/21       CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 159.203.176.26    PREFIX: 159.203.176.0/20     CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 161.35.106.186    PREFIX: 161.35.96.0/20       CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 162.243.71.18     PREFIX: 162.243.0.0/17       CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 170.64.163.12     PREFIX: 170.64.128.0/18      CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 170.64.178.158    PREFIX: 170.64.128.0/18      CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 170.64.210.223    PREFIX: 170.64.192.0/19      CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 192.81.208.104    PREFIX: 192.81.208.0/21      CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 198.211.100.14    PREFIX: 198.211.96.0/20      CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 209.38.28.244     PREFIX: 209.38.16.0/20       CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 209.38.85.143     PREFIX: 209.38.80.0/20       CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14618    IP: 3.83.245.221      PREFIX: 3.80.0.0/12          CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
AS14618    IP: 18.232.73.235     PREFIX: 18.232.0.0/14        CC: US  DESC: AMAZON-AES - Amazon.com, Inc., US
