170.210.96.0/21 #AS52442 UNIVERSIDAD-NACIONAL-LUJAN Universidad Nacional de Luján, AR
190.104.80.0/21 #AS52442 UNIVERSIDAD-NACIONAL-LUJAN Universidad Nacional de Luján, AR
195.130.32.0/19 #AS8670 UTIC-AUTONOMUS-SYSTEM University of Sarajevo, BA
45.65.200.0/24 #AS267893 UNIVERSIDAD-MAGDALENA UNIVERSIDAD DEL MAGDALENA, CO
45.164.204.0/23 #AS267703 FUNDACION-UNIVERSIDAD-PALERMO FUNDACIÓN UNIVERSIDAD DE PALERMO, AR
140.148.0.0/16 #AS1840 UNIVERSIDAD-LAS-AMERICAS Universidad de Las Americas-Puebla, MX
129.95.0.0/23 #AS11995 OHSU Oregon Health & Science University, US
129.95.16.0/20 #AS11995 OHSU Oregon Health & Science University, US
129.95.32.0/20 #AS11995 OHSU Oregon Health & Science University, US
129.95.100.0/24 #AS11995 OHSU Oregon Health & Science University, US
129.95.128.0/17 #AS11995 OHSU Oregon Health & Science University, US
137.53.0.0/16 #AS11995 OHSU Oregon Health & Science University, US
204.63.232.0/21 #AS11995 OHSU Oregon Health & Science University, US
78.31.210.0/24 #AS199093 MOSPOLYTECH-AS Moscow Polytechnic University, RU
155.138.0.0/18 #AS26174 SVSU Saginaw Valley State University, US
103.10.144.0/24 #AS46057 UMM-AS-ID Universitas Muhammadiyah Malang, ID
202.52.52.0/24 #AS46057 UMM-AS-ID Universitas Muhammadiyah Malang, ID
103.147.251.0/24 #AS139974 IDNIC-UMK-AS-ID Universitas Muria Kudus, ID
130.216.0.0/16 #AS9431 AKUNI-NZ The University of Auckland, NZ
202.36.244.0/24 #AS9431 AKUNI-NZ The University of Auckland, NZ
202.37.88.0/24 #AS9431 AKUNI-NZ The University of Auckland, NZ
64.56.85.0/24 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.0.0/17 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.128.0/18 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.192.0/19 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.224.0/20 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.240.0/21 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.248.0/22 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.252.0/23 #AS7939 UNIVCENTFLA University of Central Florida, US
132.170.254.0/24 #AS7939 UNIVCENTFLA University of Central Florida, US
192.31.108.0/24 #AS7939 UNIVCENTFLA University of Central Florida, US
64.113.64.0/19 #AS2698 IASTATE-AS Iowa State University of Science and Technology, US
65.110.224.0/19 #AS2698 IASTATE-AS Iowa State University of Science and Technology, US
129.186.0.0/16 #AS2698 IASTATE-AS Iowa State University of Science and Technology, US
192.188.159.0/24 #AS2698 IASTATE-AS Iowa State University of Science and Technology, US
192.188.160.0/22 #AS2698 IASTATE-AS Iowa State University of Science and Technology, US
192.245.179.0/24 #AS2698 IASTATE-AS Iowa State University of Science and Technology, US
205.237.112.0/20 #AS2698 IASTATE-AS Iowa State University of Science and Technology, US
128.143.0.0/16 #AS225 VIRGINIA-AS University of Virginia, US
137.54.0.0/16 #AS225 VIRGINIA-AS University of Virginia, US
192.33.115.0/24 #AS225 VIRGINIA-AS University of Virginia, US
192.33.117.0/24 #AS225 VIRGINIA-AS University of Virginia, US
192.35.48.0/23 #AS225 VIRGINIA-AS University of Virginia, US
192.131.232.0/24 #AS225 VIRGINIA-AS University of Virginia, US
198.51.208.0/24 #AS225 VIRGINIA-AS University of Virginia, US
199.111.0.0/16 #AS225 VIRGINIA-AS University of Virginia, US
192.138.176.0/23 #AS40043 LIFESPAN Brown University Health, US
192.138.178.0/24 #AS40043 LIFESPAN Brown University Health, US
14.49.224.0/21 #AS17578 HALLA-AS CHEJU HALLA UNIVERSITY, KR
14.49.232.0/22 #AS17578 HALLA-AS CHEJU HALLA UNIVERSITY, KR
61.39.225.0/24 #AS17578 HALLA-AS CHEJU HALLA UNIVERSITY, KR
61.39.243.0/24 #AS17578 HALLA-AS CHEJU HALLA UNIVERSITY, KR
61.39.244.0/22 #AS17578 HALLA-AS CHEJU HALLA UNIVERSITY, KR
61.39.248.0/23 #AS17578 HALLA-AS CHEJU HALLA UNIVERSITY, KR
200.1.161.0/24 #AS269941 UNIVERSIDAD-PARTICULAR-ESPECIALIDADES Universidad Particular de Especialidades Espíritu Santo, EC
192.103.45.0/24 #AS19817 MIU-IA Maharishi International University, US
187.251.33.0/24 #AS18592 CORPORACION-UNIVERSITARIA-PARA Corporacion Universitaria para el Desarrollo de Internet A.C., MX
187.251.34.0/24 #AS18592 CORPORACION-UNIVERSITARIA-PARA Corporacion Universitaria para el Desarrollo de Internet A.C., MX
200.23.60.0/24 #AS18592 CORPORACION-UNIVERSITARIA-PARA Corporacion Universitaria para el Desarrollo de Internet A.C., MX
149.149.248.0/22 #AS33600 TNTECH Tennessee Technological University, US
179.97.96.0/20 #AS28601 UNIVERSIDADE-SANTA-CATARINA UNIVERSIDADE DO ESTADO DE SANTA CATARINA, BR
74.118.176.0/22 #AS22441 WHITWORTH-NET Whitworth University, US
198.29.0.0/22 #AS22441 WHITWORTH-NET Whitworth University, US
35.7.224.0/19 #AS62676 UMD-PUBLIC-AS University of Michigan - Dearborn, US
