100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
103.135.43.0/24 #AS15830 EQUINIX, NL
103.13.68.0/22 #AS15830 EQUINIX, NL
103.138.35.0/24 #AS7594 ONQ-AS-AP On Q, AU
103.139.130.0/23 #AS6461 ZAYO-6461 - Zayo Bandwidth, US
103.140.211.0/24 #AS15830 EQUINIX, NL
103.140.224.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.14.116.0/22 #AS15830 EQUINIX, NL
103.141.18.0/23 #AS9693 KFTCCA-AS KFTC, KR
103.141.227.0/24 #AS14934 AGS-LLC-AGO - AGS, US
103.141.235.0/24 #AS931 HYONIX - Hyonix, SG
103.141.24.0/23 #AS3170 VELOXSERV, GB
103.141.38.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.142.104.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.142.167.0/24 #AS931 HYONIX - Hyonix, SG
103.142.178.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.142.56.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.143.104.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.144.51.0/24 #AS931 HYONIX - Hyonix, SG
103.145.202.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.145.212.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.146.180.0/23 #AS9636 NHNPAYCO-AS-KR NHNPayco, KR
103.148.110.0/23 #AS9326 CENTRIN-AS-AP PT Centrin Utama, ID
103.149.24.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.151.126.0/24 #AS13360 TRITONDIGITAL - Triton Digital, CA
103.151.201.0/24 #AS14969 JANE-STREET - JANE STREET, US
103.152.80.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.15.4.0/22 #AS4859 CEISTNET-AS-AP The State Information Center of P.R.China, CN
103.155.76.0/23 #AS9389 CGWNET BEIJING SHENZHOU GREATWALL COMMUNICATION, CN
103.157.57.0/24 #AS7594 ONQ-AS-AP On Q, AU
103.159.228.0/22 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.159.232.0/22 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.160.116.0/23 #AS9449 QLDVOIP-AU QLD VoIP Services Australia, AU
103.160.220.0/23 #AS7539 TWAREN-TW National Center for High-performance Computing, TW
103.160.38.0/24 #AS9009 M247, RO
103.160.86.0/23 #AS4782 GSNET Data Communication Business Group, TW
103.164.132.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.166.70.0/23 #AS9471 ONATI-AS-AP ONATI, PF
103.167.144.0/22 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.167.178.0/23 #AS16276 OVH, FR
103.168.104.0/24 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
103.168.106.0/23 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.168.108.0/22 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.168.112.0/24 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.168.122.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.124.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.128.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.132.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.136.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.169.110.0/24 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.169.112.0/24 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.169.114.0/23 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.169.118.0/23 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.169.122.0/23 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.169.124.0/23 #AS9875 PESAT1-AS-AP PT. Pasifik Satelit Nusantara, ID
103.169.16.0/20 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.169.184.0/24 #AS15830 EQUINIX, NL
103.169.230.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.170.116.0/23 #AS16276 OVH, FR
103.171.96.0/24 #AS9430 STPI-NOIDA Software Technology Parks of India,Block-IV, IN
103.172.116.0/23 #AS8849 MELBICOM-EU-AS Melbikomas UAB, LT
103.173.128.0/24 #AS9422 SOLNET-ID PT SOLNET INDONESIA, ID
103.175.128.0/23 #AS13213 UK2NET-AS, GB
103.175.178.0/24 #AS2923 AS-TIAA-NET - TIAA-CREF, US
103.175.210.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.177.88.0/23 #AS16524 METTEL - MetTel, US
103.178.164.0/23 #AS6315 XMISSION - XMission, L.C., US
103.18.128.0/22 #AS7532 GAMANIA-AS-TW Gamania CloudForce, TW
103.182.173.0/24 #AS15830 EQUINIX, NL
103.183.186.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.183.250.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.183.60.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.186.10.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.186.170.0/23 #AS4793 HHIAS-AS-KR Hyundai Heavy Industries, KR
103.186.249.0/24 #AS3758 SINGNET SingNet, SG
103.187.150.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
