100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
217.181.128.0/17 #AS8399 SEWAN-, FR
217.18.176.0/20 #AS16205 DSINET-ASN, DE
217.18.192.0/20 #AS13243 NO-TTSN-ASN2 Tietoevry Norway - Regions, NO
217.182.0.0/16 #AS16276 OVH, FR
217.18.238.0/24 #AS3262 SARENET, ES
217.18.240.0/20 #AS8717 A1, BG
217.18.250.0/24 #AS13124 A1BG_RSD, BG
217.18.253.0/24 #AS13124 A1BG_RSD, BG
217.18.254.0/23 #AS13124 A1BG_RSD, BG
217.18.32.0/20 #AS15954 TECNOCRATICA Tecnocratica Centro de Datos, S.L., ES
217.184.0.0/13 #AS6805 TDDE-ASN1, DE
217.18.96.0/19 #AS16297 WIIT-IT-AS, IT
217.19.0.0/24 #AS12804 ADISAM, RO
217.19.11.0/24 #AS12804 ADISAM, RO
217.19.112.0/20 #AS3216 SOVAM-AS, RU
217.19.192.0/20 #AS15557 LDCOMNET --- I3Dnet ---, FR
217.192.86.0/24 #AS9096 , CH
217.19.3.0/24 #AS12804 ADISAM, RO
217.194.138.0/24 #AS15830 EQUINIX, NL
217.194.148.0/24 #AS16003 FORNEX-NL-AS, ES
217.194.150.0/24 #AS1764 NEXTLAYER-AS, AT
217.194.156.0/24 #AS1764 NEXTLAYER-AS, AT
217.194.160.0/20 #AS5610 O2-CZECH-REPUBLIC, CZ
217.194.18.0/24 #AS8455 ATOM86-AS ATOM86, NL
217.194.21.0/24 #AS8455 ATOM86-AS ATOM86, NL
217.19.44.0/24 #AS8245 VIDEOBROADCAST-AS, AT
217.19.5.0/24 #AS12804 ADISAM, RO
217.195.112.0/20 #AS8315 WORLDSTREAM, NL
217.195.128.0/20 #AS6799 OTENET-GR Athens - Greece, GR
217.195.212.0/23 #AS3216 SOVAM-AS, RU
217.195.216.0/23 #AS3216 SOVAM-AS, RU
217.195.219.0/24 #AS3216 SOVAM-AS, RU
217.196.160.0/20 #AS16223 COLUMBUS-PE-TE, UA
217.197.0.0/20 #AS5495 ASN-SPBGU St.Petersburg, Russia, RU
217.197.128.0/21 #AS15576 NTS, CH
217.197.170.0/24 #AS6079 RCN-AS - RCN, US
217.197.48.0/22 #AS1257 TELE2, EU
217.197.54.0/24 #AS1257 TELE2, EU
217.19.8.0/24 #AS12804 ADISAM, RO
217.198.240.0/20 #AS2857 RLP-NET, DE
217.198.56.0/21 #AS8356 NEOTEL-UK, GB
217.199.144.0/20 #AS9129 KE-NET2000, ZA
217.199.32.0/19 #AS2119 TELENOR-NEXTEL Telenor Norge AS, NO
217.199.64.0/20 #AS8881 VERSATEL, DE
217.200.0.0/14 #AS16232 ASN-TIM Service Provider, IT
217.20.0.0/20 #AS1267 ASN-WINDTRE IUNET, IT
217.20.16.0/20 #AS6908 DATAHOP Datahop - Six Degrees, GB
217.20.32.0/20 #AS15830 EQUINIX, NL
217.20.64.0/20 #AS8359 MTS, RU
217.21.0.0/23 #AS15975 HADARA-AS, PS
217.21.16.0/20 #AS12301 INVITECH, HU
217.21.168.0/21 #AS15721 CTCO Riga, Latvia, LV
217.21.43.0/24 #AS13171 BSU, BY
217.217.26.0/24 #AS16276 OVH, FR
217.218.127.0/24 #AS12880 DCI-AS, IR
217.218.155.0/24 #AS12880 DCI-AS, IR
217.218.165.0/24 #AS12880 DCI-AS, IR
217.220.0.0/15 #AS8968 BT-ITALIA, IT
217.22.128.0/20 #AS8758 IWAY, CH
217.22.144.0/20 #AS12703 PULSANT-AS, GB
217.22.163.0/24 #AS15599 AVANTEL-NEFTEUGANSK-ASN, RU
217.22.176.0/20 #AS15735 DATASTREAM-NET, MT
217.222.0.0/15 #AS3269 ASN-IBSNAZ, IT
217.22.240.0/23 #AS9009 M247, RO
217.22.248.0/23 #AS9009 M247, RO
2.17.224.0/20 #AS9121 TTNET, TR
217.22.96.0/20 #AS15711 IBERDROLA Bilbao, ES
217.23.160.0/20 #AS15766 DOMICILIUM-AS, IM
217.23.224.0/20 #AS15770 DERWENTSIDE, GB
217.24.0.0/20 #AS15844 TGC-AS, DE
217.24.96.0/20 #AS719 ELISA-AS ELISA OYJ, FI
217.25.137.0/24 #AS12843 TELEMAXX, DE
217.25.224.0/20 #AS6856 IC-VORONEZH-AS Informsvyaz - Chernozemye, RU
217.25.240.0/20 #AS1257 TELE2, EU
217.25.96.0/20 #AS719 ELISA-AS ELISA OYJ, FI
217.26.160.0/20 #AS15836 AXAUTSYS ARAX AS, MD
217.26.224.0/21 #AS15743 NETDE net.de AG, DE
217.26.64.0/20 #AS6700 BEOTEL-AS www.beotel.net, RS
217.26.80.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
217.27.0.0/22 #AS15854 DXC_CUSTOMER, DE
217.27.160.0/19 #AS8473 BAHNHOF, SE
217.27.192.0/20 #AS8881 VERSATEL, DE
217.28.144.0/20 #AS12741 AS-NETIA Warszawa 02-822, PL
217.28.160.0/23 #AS3292 TDC TDC AS, DK
217.28.162.0/24 #AS3292 TDC TDC AS, DK
217.28.164.0/22 #AS3292 TDC TDC AS, DK
217.28.168.0/21 #AS3292 TDC TDC AS, DK
217.28.32.0/20 #AS12684 SES-LUX-AS, LU
217.28.96.0/20 #AS15894 LEITWERK-AS, DE
217.29.160.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
217.29.176.0/20 #AS3226 MARK-ITT-AS, RU
217.29.32.0/20 #AS16188 PUNKT, DE
217.29.72.0/21 #AS16004 MIXITA-AS Milan Italy interconnection point, IT
217.30.102.0/24 #AS15892 MITTS-NET, MT
217.30.105.0/24 #AS15892 MITTS-NET, MT
217.30.107.0/24 #AS15892 MITTS-NET, MT
217.30.112.0/20 #AS12703 PULSANT-AS, GB
217.30.128.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
217.30.80.0/22 #AS7342 VERISIGN-AS - VeriSign Infrastructure & Operations, US
217.30.84.0/23 #AS7342 VERISIGN-AS - VeriSign Infrastructure & Operations, US
217.30.87.0/24 #AS7342 VERISIGN-AS - VeriSign Infrastructure & Operations, US
217.30.92.0/24 #AS7342 VERISIGN-AS - VeriSign Infrastructure & Operations, US
217.30.94.0/23 #AS7342 VERISIGN-AS - VeriSign Infrastructure & Operations, US
217.30.96.0/22 #AS15892 MITTS-NET, MT
217.31.160.0/19 #AS8473 BAHNHOF, SE
217.31.64.0/20 #AS15965 AS15965 CEGECOM S.A., LU
217.48.0.0/14 #AS6805 TDDE-ASN1, DE
217.56.0.0/14 #AS3269 ASN-IBSNAZ, IT
2.176.0.0/12 #AS12880 DCI-AS, IR
217.60.196.0/24 #AS16276 OVH, FR
217.61.176.0/20 #AS6908 DATAHOP Datahop - Six Degrees, GB
217.64.112.0/24 #AS16247 M247-UK, GB
217.64.113.0/24 #AS9009 M247, RO
217.64.114.0/23 #AS16247 M247-UK, GB
217.64.116.0/22 #AS16247 M247-UK, GB
217.64.120.0/23 #AS16247 M247-UK, GB
217.64.122.0/24 #AS16247 M247-UK, GB
217.64.123.0/24 #AS9009 M247, RO
217.64.124.0/24 #AS16247 M247-UK, GB
217.64.125.0/24 #AS9009 M247, RO
217.64.126.0/23 #AS9009 M247, RO
217.64.151.0/24 #AS9009 M247, RO
217.64.176.0/20 #AS15830 EQUINIX, NL
217.64.64.0/19 #AS15933 ITH Reiterstrasse 24, D-94447 Plattling, DE
217.65.16.0/20 #AS8881 VERSATEL, DE
217.65.192.0/20 #AS15958 CETIN_DOO_AS CETINdoo-NET, RS
217.65.73.0/24 #AS16276 OVH, FR
217.66.0.0/20 #AS16294 DSG-EMEA, BE
217.66.112.0/20 #AS15557 LDCOMNET --- I3Dnet ---, FR
217.66.148.0/22 #AS8359 MTS, RU
217.66.152.0/21 #AS8359 MTS, RU
217.66.226.0/24 #AS15975 HADARA-AS, PS
217.67.0.0/20 #AS15984 Location : 109017 Piatnitskaya str. Moscow Russia., RU
217.67.112.0/20 #AS5429 IIP-NET-AS5429, RU
217.67.16.0/20 #AS5578 AS-BENESTRA Bratislava, Slovak Republic, SK
217.67.48.0/20 #AS5413 WAVENET-AS5413, GB
217.67.80.0/20 #AS1257 TELE2, EU
217.68.144.0/20 #AS15830 EQUINIX, NL
217.68.16.0/20 #AS15830 EQUINIX, NL
217.68.192.0/21 #AS16212 LORAL-SKYNET-ASN, GB
217.68.200.0/22 #AS16212 LORAL-SKYNET-ASN, GB
217.68.204.0/23 #AS16212 LORAL-SKYNET-ASN, GB
217.68.206.0/24 #AS16212 LORAL-SKYNET-ASN, GB
217.68.208.0/24 #AS12903 GARANTI-TECH, TR
217.68.211.0/24 #AS12903 GARANTI-TECH, TR
217.68.212.0/22 #AS12903 GARANTI-TECH, TR
217.68.216.0/23 #AS12903 GARANTI-TECH, TR
217.68.219.0/24 #AS12903 GARANTI-TECH, TR
217.68.220.0/22 #AS12903 GARANTI-TECH, TR
217.68.224.0/20 #AS15576 NTS, CH
217.69.112.0/20 #AS2588 LATNET-AS, LV
217.69.16.0/20 #AS15830 EQUINIX, NL
217.69.192.0/19 #AS8359 MTS, RU
217.69.224.0/19 #AS16097 HLKOMM 04107 Leipzig, DE
217.70.160.0/20 #AS16024 GELSEN-NET Willy-Brandt-Allee 26, DE
217.70.64.0/20 #AS2860 NOS_COMUNICACOES, PT
217.70.80.0/20 #AS15557 LDCOMNET --- I3Dnet ---, FR
217.71.116.0/24 #AS8434 TELENOR-SE Telenor Sverige AB, SE
217.71.119.0/24 #AS8434 TELENOR-SE Telenor Sverige AB, SE
217.71.176.0/24 #AS15892 MITTS-NET, MT
217.71.178.0/23 #AS15892 MITTS-NET, MT
217.71.180.0/24 #AS15892 MITTS-NET, MT
217.71.182.0/24 #AS15892 MITTS-NET, MT
217.71.190.0/23 #AS15892 MITTS-NET, MT
217.71.240.0/20 #AS8758 IWAY, CH
217.71.32.0/20 #AS3249 ESTPAK, EE
217.71.64.0/20 #AS16027 ALLITUDE-1 Allitude Public Addresses, IT
217.72.160.0/19 #AS8419 HOTCHILLI, GB
217.72.224.0/20 #AS6848 TELENET-AS, BE
217.72.240.0/20 #AS15395 RACKSPACE-LON, GB
217.72.96.0/20 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
217.73.0.0/21 #AS16115 NASDAQ-ASN, SE
217.73.160.0/20 #AS2614 ROEDUNET, RO
217.73.192.0/20 #AS16083 STACK-AS, RU
217.73.208.0/21 #AS8612 TISCALI-, IT
217.73.216.0/22 #AS3242 ASN-ITNET, IT
217.73.220.0/24 #AS3242 ASN-ITNET, IT
217.73.32.0/23 #AS16072 FDD, DE
217.73.36.0/22 #AS16072 FDD, DE
217.73.40.0/22 #AS16072 FDD, DE
217.73.8.0/22 #AS16115 NASDAQ-ASN, SE
217.74.172.0/22 #AS16300 INTERTAX-AREA, RU
217.74.192.0/20 #AS6786 CRONON-BERLIN-AS, DE
217.74.240.0/20 #AS8359 MTS, RU
217.74.64.0/20 #AS16138 INTERIA, PL
217.74.96.0/20 #AS8399 SEWAN-, FR
217.75.128.0/21 #AS9070 COOOLBOX, BG
217.75.140.0/23 #AS9070 COOOLBOX, BG
217.75.144.0/21 #AS9070 COOOLBOX, BG
217.75.16.0/21 #AS15623 CYBERLINK Cyberlink AG, CH
217.75.192.0/20 #AS16178 LOGOSOFT-AS Logosoft d.o.o., BA
217.75.64.0/19 #AS5578 AS-BENESTRA Bratislava, Slovak Republic, SK
217.76.160.0/20 #AS8562 LICPLUS-AS, AT
217.76.192.0/20 #AS16066 TEST-, UA
217.76.32.0/20 #AS16143 RADIONET-AS, RU
217.77.128.0/19 #AS12902 LUNA, NL
217.77.192.0/20 #AS719 ELISA-AS ELISA OYJ, FI
217.78.128.0/20 #AS8881 VERSATEL, DE
217.78.144.0/20 #AS5413 WAVENET-AS5413, GB
217.78.16.0/20 #AS1257 TELE2, EU
217.78.192.0/19 #AS16086 DNA, FI
217.78.233.0/24 #AS12695 DINET-AS, RU
217.78.56.0/24 #AS15975 HADARA-AS, PS
217.79.128.0/20 #AS8448 CETIN-HU Torokbalint, Hungary, HU
217.79.192.0/20 #AS15547 NETPLUS, CH
217.79.208.0/20 #AS15830 EQUINIX, NL
217.79.32.0/20 #AS8717 A1, BG
217.79.48.0/22 #AS12828 KRSC-AS ICM SB RAS, RU
217.79.58.0/23 #AS5387 NSC, RU
217.79.60.0/22 #AS5387 NSC, RU
217.79.68.0/22 #AS13306 UNICS-AS, BG
217.79.73.0/24 #AS13306 UNICS-AS, BG
217.79.74.0/23 #AS13306 UNICS-AS, BG
217.79.76.0/24 #AS13306 UNICS-AS, BG
217.79.80.0/23 #AS13306 UNICS-AS, BG
217.79.82.0/24 #AS13306 UNICS-AS, BG
217.79.84.0/23 #AS13306 UNICS-AS, BG
217.79.89.0/24 #AS13306 UNICS-AS, BG
217.79.91.0/24 #AS13306 UNICS-AS, BG
217.79.93.0/24 #AS13306 UNICS-AS, BG
217.79.94.0/24 #AS13306 UNICS-AS, BG
217.8.160.0/19 #AS12912 TM, PL
217.8.218.0/24 #AS9009 M247, RO
217.8.222.0/23 #AS9009 M247, RO
217.8.224.0/20 #AS8359 MTS, RU
217.9.0.0/24 #AS15577 RDR-AS, UA
217.9.16.0/22 #AS9009 M247, RO
217.9.165.0/24 #AS8308 NASK-COMMERCIAL, PL
217.9.224.0/20 #AS8717 A1, BG
217.9.238.0/24 #AS13124 A1BG_RSD, BG
217.9.241.0/24 #AS15419 LRTC-AS, LT
217.9.242.0/24 #AS15419 LRTC-AS, LT
217.9.254.0/23 #AS15419 LRTC-AS, LT
217.9.32.0/19 #AS8881 VERSATEL, DE
217.96.0.0/14 #AS5617 TPNET, PL
217.9.84.0/22 #AS3267 NIKS, RU
217.9.88.0/21 #AS3267 NIKS, RU
217.9.96.0/19 #AS8881 VERSATEL, DE
218.100.27.0/24 #AS7717 OPENIXP-AS-ID-AP OpenIXP ASN, ID
218.100.36.0/24 #AS7717 OPENIXP-AS-ID-AP OpenIXP ASN, ID
218.111.0.0/16 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
218.147.88.0/24 #AS9843 NACFFUTURES-AS NHINFORMATIONSYSTEM, KR
218.151.134.0/23 #AS4793 HHIAS-AS-KR Hyundai Heavy Industries, KR
218.151.145.0/24 #AS4793 HHIAS-AS-KR Hyundai Heavy Industries, KR
218.151.146.0/23 #AS4793 HHIAS-AS-KR Hyundai Heavy Industries, KR
218.151.186.0/24 #AS4793 HHIAS-AS-KR Hyundai Heavy Industries, KR
218.160.0.0/12 #AS3462 HINET Data Communication Business Group, TW
218.208.0.0/16 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
218.219.192.0/18 #AS4685 ASAHI-NET Asahi Net, JP
218.219.64.0/20 #AS15830 EQUINIX, NL
218.233.7.0/24 #AS1237 KREONET-AS-KR KISTI, KR
218.234.156.0/24 #AS1237 KREONET-AS-KR KISTI, KR
218.234.34.0/24 #AS9773 HANCOMWITH-AS-KR HancomWITH, KR
218.38.130.0/24 #AS9574 TP-AS-KR Teachers Pension, KR
218.38.73.0/24 #AS10069 SMLINE-AS-KR Seoul Metro, KR
218.45.160.0/19 #AS4685 ASAHI-NET Asahi Net, JP
218.53.54.0/24 #AS4793 HHIAS-AS-KR Hyundai Heavy Industries, KR
2.189.80.0/22 #AS12660 SHARIF-EDU-NET, IR
219.101.64.0/20 #AS9601 SHIBATA Niigata Communication Service, JP
219.121.0.0/18 #AS4685 ASAHI-NET Asahi Net, JP
219.122.0.0/20 #AS15830 EQUINIX, NL
2.192.0.0/13 #AS16232 ASN-TIM Service Provider, IT
219.240.92.0/24 #AS4961 DISC-AS-KR Daewoo Information Systems, KR
219.248.78.0/24 #AS9840 INSPIREKOREA-AS-KR INSPIRE Integrated Resort, KR
219.69.252.0/22 #AS7532 GAMANIA-AS-TW Gamania CloudForce, TW
219.74.145.0/24 #AS3758 SINGNET SingNet, SG
219.92.0.0/15 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
219.94.0.0/17 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
219.95.0.0/16 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
220.128.128.0/17 #AS3462 HINET Data Communication Business Group, TW
220.128.62.0/24 #AS3462 HINET Data Communication Business Group, TW
220.128.65.0/24 #AS3462 HINET Data Communication Business Group, TW
220.128.72.0/24 #AS3462 HINET Data Communication Business Group, TW
220.128.77.0/24 #AS3462 HINET Data Communication Business Group, TW
220.128.79.0/24 #AS3462 HINET Data Communication Business Group, TW
220.128.80.0/24 #AS3462 HINET Data Communication Business Group, TW
220.128.96.0/19 #AS3462 HINET Data Communication Business Group, TW
220.129.0.0/16 #AS3462 HINET Data Communication Business Group, TW
220.130.0.0/15 #AS3462 HINET Data Communication Business Group, TW
220.132.0.0/14 #AS3462 HINET Data Communication Business Group, TW
220.136.0.0/13 #AS3462 HINET Data Communication Business Group, TW
220.146.0.0/16 #AS4685 ASAHI-NET Asahi Net, JP
220.147.0.0/18 #AS4685 ASAHI-NET Asahi Net, JP
220.150.128.0/18 #AS4685 ASAHI-NET Asahi Net, JP
220.150.224.0/19 #AS4685 ASAHI-NET Asahi Net, JP
220.150.96.0/19 #AS4685 ASAHI-NET Asahi Net, JP
220.157.128.0/17 #AS4685 ASAHI-NET Asahi Net, JP
220.231.64.0/18 #AS7552 VIETEL-AS-AP Viettel Group, VN
2.20.24.0/22 #AS9121 TTNET, TR
2.20.249.0/24 #AS8966 ETISALAT-AS P.O. Box 1150, Dubai, U, AE
220.255.190.0/23 #AS3758 SINGNET SingNet, SG
220.255.7.0/24 #AS3758 SINGNET SingNet, SG
220.255.8.0/21 #AS3758 SINGNET SingNet, SG
220.65.0.0/16 #AS9316 DACOM-PUBNETPLUS-AS-KR DACOM-PUBNETPLUS, KR
220.72.24.0/24 #AS9492 MAEKYUNG-AS Maeil Business Newspaper, KR
220.73.10.0/24 #AS4668 LGNET-AS-KR LG CNS, KR
220.78.134.0/24 #AS9577 KYOBOTRADE-AS KYOBO SECURITIES, KR
2.208.0.0/13 #AS6805 TDDE-ASN1, DE
220.87.44.0/24 #AS9840 INSPIREKOREA-AS-KR INSPIRE Integrated Resort, KR
221.113.0.0/17 #AS4685 ASAHI-NET Asahi Net, JP
221.141.178.0/24 #AS16669 APPLIED-MATERIALS - Applied Materials, US
221.147.101.0/24 #AS9850 WOWTV-AS WOW-TV, KR
221.165.31.0/24 #AS9862 RAYNET1 GORayNet, KR
221.199.208.0/20 #AS6262 CSIRO Commonwealth Scientific and Industrial, AU
2.21.231.0/24 #AS8966 ETISALAT-AS P.O. Box 1150, Dubai, U, AE
2.21.28.0/22 #AS3292 TDC TDC AS, DK
222.108.54.0/24 #AS9850 WOWTV-AS WOW-TV, KR
222.117.144.0/23 #AS9685 FACT-AS-KR KOAT, KR
222.122.101.0/24 #AS10062 BHA-AS-KR Branksome Hall Asia, KR
222.126.0.0/17 #AS7629 EPLDT-AS-AP 5F L.V. Locsin Bldg, PH
222.167.236.0/24 #AS9009 M247, RO
222.167.253.0/24 #AS9009 M247, RO
222.228.32.0/19 #AS4685 ASAHI-NET Asahi Net, JP
2.22.233.0/24 #AS12400 PARTNER-AS, IL
223.197.53.0/24 #AS4655 UNSPECIFIED Sing Tao Electronic Daily, HK
223.200.0.0/16 #AS4782 GSNET Data Communication Business Group, TW
223.25.105.0/24 #AS4821 SINERGINET-AS-ID PT Sinergi Semesta Telematika, ID
223.25.108.0/24 #AS4821 SINERGINET-AS-ID PT Sinergi Semesta Telematika, ID
223.26.11.0/24 #AS7538 NORDA-NET 10F No 33 Sec 2 Zhongshan Rd Zhonghe Dist, TW
223.27.164.0/22 #AS15695 EXPEREO, NL
2.240.0.0/13 #AS6805 TDDE-ASN1, DE
2.26.132.0/24 #AS16276 OVH, FR
2.26.153.0/24 #AS16276 OVH, FR
2.26.166.0/24 #AS16276 OVH, FR
2.27.97.0/24 #AS16276 OVH, FR
23.111.76.0/22 #AS11831 ESECUREDATA - eSecureData, CA
23.129.212.0/24 #AS16909 IMPUT - imput, US
23.129.244.0/24 #AS15082 OMEG-LCN - OMEGAI, US
23.129.76.0/24 #AS13378 QINGYE-CLOUD - Qingye Cloud, US
23.132.244.0/24 #AS11527 X0R - Xproxies, US
23.133.172.0/24 #AS11967 HOP179, EE
23.135.100.0/24 #AS14691 GLAA - Great Lakes Adventist Academy, US
23.137.200.0/24 #AS16276 OVH, FR
23.138.100.0/24 #AS12186 GVVME - GVVME, US
23.138.112.0/22 #AS267 NETHER-NET - Nether.Net, US
23.139.176.0/24 #AS6461 ZAYO-6461 - Zayo Bandwidth, US
23.139.48.0/24 #AS8025 BRIGHTOK-AS - BrightNet Oklahoma, US
23.1.4.0/22 #AS2860 NOS_COMUNICACOES, PT
23.142.224.0/24 #AS6233 XTOM - xTom, US
23.143.82.0/24 #AS1003 ANDREWNET - andrewnet, US
23.145.124.0/24 #AS6079 RCN-AS - RCN, US
23.145.132.0/24 #AS6079 RCN-AS - RCN, US
23.145.228.0/24 #AS6079 RCN-AS - RCN, US
23.145.68.0/24 #AS6079 RCN-AS - RCN, US
23.145.76.0/24 #AS6079 RCN-AS - RCN, US
23.147.64.0/24 #AS807 FORKSYSTEMS - FORK SYSTEMS, US
23.151.184.0/24 #AS16276 OVH, FR
23.151.24.0/24 #AS13781 ENERGYNET - Hopkinsville Electric System, US
23.152.160.0/24 #AS7034 PHIREPHLY-DESIGN - PhirePhly Design, US
23.153.64.0/24 #AS6079 RCN-AS - RCN, US
23.156.24.0/23 #AS16276 OVH, FR
23.157.136.0/24 #AS6145 SYNAPSIS-NET - Synapsis.io, CA
23.161.136.0/24 #AS7413 IPCLEAR - IPClear, US
23.161.200.0/24 #AS13356 PANORA - Panora Telco, US
23.161.32.0/24 #AS12131 VC-AS-02 - Vertical Computers, US
23.163.120.0/24 #AS11913 ELEVATE-HOMESCRIPTIONS-01 - Elevate Homescriptions, US
23.166.176.0/24 #AS11665 NORTH-RIDGE - North Ridge, US
23.169.240.0/22 #AS16970 MIDNET - MIDnet, US
23.169.244.0/23 #AS16970 MIDNET - MIDnet, US
23.169.248.0/21 #AS16970 MIDNET - MIDnet, US
23.174.216.0/24 #AS10804 MFNM-AS - Matawa First Nations Management, CA
23.174.72.0/24 #AS11848 SECUREVISION-GULFCOAST - SecureVision, US
23.175.32.0/24 #AS4508 WATERLOO-INTUITION - NeuStyle, CA
23.176.168.0/24 #AS17095 BUILDBUDDY-01 - BuildBuddy, US
23.182.129.0/24 #AS6079 RCN-AS - RCN, US
23.184.240.0/24 #AS6079 RCN-AS - RCN, US
23.186.184.0/24 #AS11358 TENNANT-SOFTWARE - Tennant Software, CA
23.187.0.0/23 #AS12131 VC-AS-02 - Vertical Computers, US
23.188.19.0/24 #AS6206 NETROUTING-AS, NL
23.194.132.0/22 #AS9443 VOCUS-RETAIL-AU Vocus Retail, AU
23.194.192.0/22 #AS15802 DU-AS1, AE
23.201.156.0/22 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
23.201.48.0/22 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.205.168.0/22 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.206.122.0/23 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.208.172.0/22 #AS8966 ETISALAT-AS P.O. Box 1150, Dubai, U, AE
23.208.212.0/22 #AS8966 ETISALAT-AS P.O. Box 1150, Dubai, U, AE
23.210.194.0/23 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.220.240.0/22 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
23.220.64.0/22 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
23.221.28.0/22 #AS12400 PARTNER-AS, IL
23.229.21.0/24 #AS6079 RCN-AS - RCN, US
23.229.85.0/24 #AS6079 RCN-AS - RCN, US
23.229.89.0/24 #AS6079 RCN-AS - RCN, US
23.229.91.0/24 #AS6079 RCN-AS - RCN, US
23.230.14.0/24 #AS16276 OVH, FR
23.230.93.0/24 #AS16276 OVH, FR
23.233.128.0/17 #AS5769 VIDEOTRON - Videotron Ltee, CA
23.244.0.0/16 #AS11776 ATLANTICBB-JOHNSTOWN - Breezeline, US
23.245.0.0/17 #AS11776 ATLANTICBB-JOHNSTOWN - Breezeline, US
23.245.128.0/19 #AS11776 ATLANTICBB-JOHNSTOWN - Breezeline, US
23.245.168.0/21 #AS11776 ATLANTICBB-JOHNSTOWN - Breezeline, US
23.245.176.0/20 #AS11776 ATLANTICBB-JOHNSTOWN - Breezeline, US
23.245.192.0/18 #AS11776 ATLANTICBB-JOHNSTOWN - Breezeline, US
23.247.240.0/22 #AS896 FORTLAB - Fortlab, US
23.249.172.0/24 #AS9009 M247, RO
23.249.192.0/22 #AS15830 EQUINIX, NL
23.249.200.0/22 #AS15830 EQUINIX, NL
23.26.132.0/24 #AS9009 M247, RO
23.26.157.0/24 #AS6079 RCN-AS - RCN, US
23.26.168.0/21 #AS6079 RCN-AS - RCN, US
23.26.194.0/24 #AS9009 M247, RO
23.26.195.0/24 #AS6079 RCN-AS - RCN, US
23.26.212.0/22 #AS6079 RCN-AS - RCN, US
23.26.218.0/24 #AS6079 RCN-AS - RCN, US
23.26.222.0/24 #AS6079 RCN-AS - RCN, US
23.26.230.0/24 #AS9009 M247, RO
23.26.233.0/24 #AS6079 RCN-AS - RCN, US
23.26.235.0/24 #AS9009 M247, RO
23.26.248.0/24 #AS6079 RCN-AS - RCN, US
23.26.40.0/24 #AS6079 RCN-AS - RCN, US
23.26.56.0/22 #AS6079 RCN-AS - RCN, US
23.26.69.0/24 #AS6079 RCN-AS - RCN, US
23.26.78.0/24 #AS6079 RCN-AS - RCN, US
23.26.82.0/24 #AS6079 RCN-AS - RCN, US
23.26.89.0/24 #AS6079 RCN-AS - RCN, US
23.27.133.0/24 #AS9009 M247, RO
23.27.17.0/24 #AS9009 M247, RO
23.27.63.0/24 #AS9009 M247, RO
23.27.65.0/24 #AS8881 VERSATEL, DE
23.27.67.0/24 #AS8881 VERSATEL, DE
23.27.72.0/23 #AS8881 VERSATEL, DE
23.27.76.0/23 #AS9009 M247, RO
23.27.80.0/24 #AS9009 M247, RO
23.27.84.0/24 #AS9009 M247, RO
23.27.85.0/24 #AS8881 VERSATEL, DE
23.27.88.0/24 #AS8881 VERSATEL, DE
23.28.0.0/18 #AS6079 RCN-AS - RCN, US
23.28.64.0/19 #AS6079 RCN-AS - RCN, US
23.34.128.0/22 #AS9534 MAXIS-AS1-AP Binariang Berhad, MY
23.36.145.0/24 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.40.76.0/22 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.45.120.0/24 #AS12400 PARTNER-AS, IL
23.48.108.0/22 #AS12400 PARTNER-AS, IL
23.56.98.0/24 #AS9002 RETN-AS, GB
23.59.82.0/23 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.61.116.0/23 #AS7552 VIETEL-AS-AP Viettel Group, VN
23.90.192.0/18 #AS16347 INHERENT, FR
23.90.73.0/24 #AS17321 LHC-GROUP - LHC Group, US
23.92.164.0/22 #AS14013 EPSON-ROBOTS - EPSON America Factory AutomationRobotics, US
23.92.224.0/19 #AS16276 OVH, FR
24.100.192.0/18 #AS5769 VIDEOTRON - Videotron Ltee, CA
24.129.224.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
24.136.0.0/19 #AS6079 RCN-AS - RCN, US
24.137.64.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
24.138.0.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
