107.6.247.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
107.6.248.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
130.51.48.0/22 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
162.0.152.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
162.0.154.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
173.214.20.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
174.139.40.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
184.164.196.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
205.186.78.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
209.11.249.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
209.131.72.0/21 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
209.151.224.0/19 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
212.56.53.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
212.56.54.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
216.71.118.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
216.176.192.0/20 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
192.175.48.1/32 #AS4378 HOSTINGCOM - Ntirety, Inc., US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4437 WEBB - Webb Systems, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4520 AQUA - Aquidneck Web, Inc., US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
169.131.0.0/16 #AS4531 MEDWEB - Nexsys Electronics, Inc., US
192.175.48.1/32 #AS4614 ASIAONLINE-HK-AS VDC Powerbase Hong Kong Data Centers Limited, HK - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5035 CYNET - WebNet, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
104.128.208.0/20 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
147.72.249.0/24 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
147.73.0.0/16 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
167.88.240.0/20 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
192.70.222.0/24 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
192.88.114.0/23 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
192.112.102.0/24 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
192.231.244.0/24 #AS5050 PSC-EXT - Pittsburgh Supercomputing Center, US
194.0.229.0/24 #AS5464 NETD ZURICH DATACENTER AG, GB
91.229.94.0/24 #AS5545 SERVEREL-AS, US
192.175.48.1/32 #AS5776 WORLDWEB - World Web Limited, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6098 WEBSPINNERS - WebSpinners, Inc., US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6123 WEBPROS-ASN-1 - Web Professionals, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6411 INSWEB - Strategic Concepts Corporation, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6439 WEBMATE - Webmate Technologies, Inc., US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6470 WEB2000-ASN - Web2000, Inc., US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6577 WEBEXTBD - Cisco Webex LLC, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
66.163.224.0/19 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
78.142.0.0/24 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
78.142.8.0/24 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
85.190.228.0/24 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
147.160.246.0/24 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
185.221.133.0/24 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
206.65.48.0/20 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
208.73.216.0/21 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
208.88.24.0/21 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
208.216.80.0/21 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
208.222.120.0/21 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
209.195.0.0/18 #AS6597 COLOBLOX - Coloblox Data Centers Inc, US
192.175.48.1/32 #AS6644 PARSECWEB-AS - PARSEC, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6753 KERNELHOST KernelHost GmbH, AT - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS6982 DRAGON - A2 Hosting, Inc., US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
200.0.208.0/24 #AS7005 InterServer SA, AR
200.0.212.0/24 #AS7005 InterServer SA, AR
104.243.254.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
104.255.152.0/23 #AS7040 NETMINDERS - Netminders Server Hosting, CA
104.255.154.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
104.255.157.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
162.254.135.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
172.94.7.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
172.111.135.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
172.111.232.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
198.144.144.0/20 #AS7040 NETMINDERS - Netminders Server Hosting, CA
199.19.93.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
199.19.94.0/23 #AS7040 NETMINDERS - Netminders Server Hosting, CA
199.21.148.0/22 #AS7040 NETMINDERS - Netminders Server Hosting, CA
199.66.88.0/22 #AS7040 NETMINDERS - Netminders Server Hosting, CA
199.66.92.0/23 #AS7040 NETMINDERS - Netminders Server Hosting, CA
199.167.136.0/23 #AS7040 NETMINDERS - Netminders Server Hosting, CA
199.167.138.0/24 #AS7040 NETMINDERS - Netminders Server Hosting, CA
23.19.88.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.19.160.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.19.196.0/23 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.19.198.0/24 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.19.212.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.19.252.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.8.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.84.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.96.0/20 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.112.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.160.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.168.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.176.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.200.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.81.220.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.0.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.16.0/20 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.48.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.56.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.64.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.88.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.96.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.112.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.124.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.132.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.168.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.176.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.82.236.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.83.152.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.83.160.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.83.176.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.105.16.0/20 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.105.96.0/19 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.106.44.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.106.88.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.106.160.0/20 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.106.184.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.108.108.0/22 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
23.108.112.0/21 #AS7203 LEASEWEB-USA-SFO - Leaseweb USA, Inc., US
