13.49.241.160 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.4.145 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.13.229 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.106.203 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.107.156 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.109.222 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.224.164 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.226.8 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.243.181 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.50.250.120 #AS16509 PREFIX: 13.50.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.79.199 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.85.74 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.109.65 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.156.211 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.160.159 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.160.246 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.162.43 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.168.129 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.251.4 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.252.47 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.51.255.37 #AS16509 PREFIX: 13.51.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.37.83 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.40.95 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.46.178 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.50.243 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.75.104 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.94.25 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.103.149 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.110.244 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.135.100 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.137.149 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.140.156 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.141.16 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.148.234 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.175.196 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.192.10 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.197.131 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.206.187 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.53.218.218 #AS16509 PREFIX: 13.53.0.0/16 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.58.223.96 #AS16509 PREFIX: 13.58.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.59.128.27 #AS16509 PREFIX: 13.58.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.2.68 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.13.105 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.17.58 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.34.140 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.45.150 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.52.131 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.56.83 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.60.145 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.88.223 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.104.110 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.105.108 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.170.229 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.182.91 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.197.228 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.220.65 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.242.155 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.246.228 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.60.254.180 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.4.217 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.16.122 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.105.83 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.141.170 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.144.175 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.150.22 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.175.162 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.179.165 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.182.242 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.61.189.247 #AS16509 PREFIX: 13.60.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.19.5 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.19.42 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.19.137 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.49.13 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.223.62 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.224.189 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.228.216 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.62.229.55 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.63.53.226 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.63.125.232 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.63.166.178 #AS16509 PREFIX: 13.62.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.18.90 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.47.137 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.212.67.125 #AS16509 PREFIX: 13.212.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
