# Last 14 days where more than 2 ports overlap per host
# Common ports included in list if not already part of top50 ports found:
# 21,22,23,53,80,123,139,161,162,389,443,445,500,1001,3306,3389,4500,5000,5001,5900,8000,8001,8080,8443,10000
#
# PORTS REPORTED ON INCL TOP50 FOUND
# 0,21,22,23,53,68,80,81,82,83,88,123,137,139,161,162,389,443,445,500,1001,1433,1900,2222,2375,3000,3306,3389,4500,5000,5001,5021,5060,5122,5432,5555,5900,6021,6080,6379,7777,8000,8001,8080,8081,8082,8088,8443,8728,8888,9000,9200,9443,10000,17000,27015,27017
#
#
185.242.3.226    #AS60223    14 ports   1080,123,21,22,2222,23,443,53,5432,7777,80,8080,9000,9090 NETIFACE-AS - Netiface Limited, GB
43.228.157.8     #AS205759   14 ports   1080,123,21,22,2222,443,53,5432,68,7777,80,8080,9000,9090 GHOSTYNETWORKS - Ghosty Networks LLC, US
89.248.172.11    #AS202425   14 ports   10001,137,143,161,21,2222,23,3306,53,6379,7777,8080,8443,9000 INT-NETWORK - IP Volume inc, SC
100.28.191.174   #AS14618    13 ports   110,111,143,161,162,21,23,3389,445,53,5900,8006,88 AMAZON-AES - Amazon.com, Inc., US
130.12.180.52    #AS202412   13 ports   10000,80,8000,8008,8080,8081,8082,8083,8088,8090,8443,8888,9090 OMEGATECH-AS - Omegatech LTD, SC
162.217.100.196  #AS32475    13 ports   27017,443,5432,5555,6080,80,8000,8080,81,82,83,8443,88 SINGLEHOP-LLC - Internap Holding LLC, US
162.217.100.201  #AS32475    13 ports   27017,443,5432,5555,6080,80,8000,8080,81,82,83,8443,88 SINGLEHOP-LLC - Internap Holding LLC, US
162.217.100.36   #AS32475    13 ports   27017,443,5432,5555,6080,80,8000,8080,81,82,83,8443,88 SINGLEHOP-LLC - Internap Holding LLC, US
162.217.100.41   #AS32475    13 ports   27017,443,5432,5555,6080,80,8000,8080,81,82,83,8443,88 SINGLEHOP-LLC - Internap Holding LLC, US
172.110.223.179  #AS23470    13 ports   1001,5000,5001,5021,6021,6080,8000,8001,8080,8081,8082,8088,8090 RELIABLESITE - ReliableSite.Net LLC, US
176.65.149.236   #AS51396    13 ports   3000,443,5000,6080,8001,8080,8081,8082,8083,82,8443,8888,9000 PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
199.195.248.205  #AS53667    13 ports   110,143,1723,21,22,2222,23,3389,443,500,53,5900,80 PONYNET - FranTech Solutions, US
