159.153.80.0/22 #AS57052 BIOWAREONLINEEU1, IE
159.253.224.0/22 #AS56410 HOST-IRELAND-AS, IE
160.1.0.0/16 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
160.238.43.0/24 #AS50088 FITL-, IE
160.6.0.0/16 #AS1213 HEANET, IE
161.232.0.0/16 #AS207266 AFILIAS-SECONDARY-DNS, IE
162.208.33.0/24 #AS204597 WAYFAIR, IE
162.247.218.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
162.33.144.0/20 #AS15502 VODAFONE-IRELAND-ASN, IE
163.5.113.0/24 #AS211439 LOCOTORPI, IE
165.224.68.0/23 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
165.85.94.0/23 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
166.0.149.0/24 #AS211439 LOCOTORPI, IE
16.64.0.0/17 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
16.65.0.0/16 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
166.98.9.0/24 #AS35289 SYMANTEC-CORP Symantec Corp AS 35289, IE
170.72.254.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
170.85.194.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
170.85.214.0/23 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
170.85.248.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
170.85.251.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
170.85.48.0/23 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
170.85.82.0/23 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
171.22.220.0/22 #AS211439 LOCOTORPI, IE
173.252.143.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
176.111.164.0/22 #AS15502 VODAFONE-IRELAND-ASN, IE
176.126.37.0/24 #AS41602 NH7-AS, IE
176.52.216.0/22 #AS31122 DIGIWEB-AS, IE
176.52.220.0/23 #AS31122 DIGIWEB-AS, IE
176.52.222.0/23 #AS39122 BLACKNIGHT-AS, IE
178.16.192.0/20 #AS43406 LIGHTHOUSE-AS, IE
178.167.128.0/17 #AS13280 H3G, IE
178.20.80.0/21 #AS39449 FASTCOM-AS, IE
178.216.112.0/21 #AS50883 NTHILL-AS, IE
178.250.112.0/21 #AS29644 AIRSPEED-AS, IE
178.255.216.0/24 #AS5466 EIRCOM Internet House, IE
181.214.172.0/24 #AS211439 LOCOTORPI, IE
181.215.24.0/24 #AS211439 LOCOTORPI, IE
181.215.54.0/24 #AS211439 LOCOTORPI, IE
181.41.209.0/24 #AS211439 LOCOTORPI, IE
182.30.0.0/16 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
18.252.0.0/15 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
18.254.0.0/16 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
184.174.0.0/23 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
185.10.116.0/23 #AS199559 POLARLAKE, IE
185.101.240.0/22 #AS50326 IPTELECOM-AS, IE
185.101.84.0/22 #AS204458 TOTALWIRELESS_AS, IE
185.103.104.0/22 #AS15502 VODAFONE-IRELAND-ASN, IE
185.106.88.0/23 #AS207044 ENET-AS, IE
185.108.128.0/22 #AS30900 WEBWORLD-AS ta Web World Ireland, IE
185.108.40.0/23 #AS203262 INNOVATEBT-AS, IE
