170.150.120.0/22 #AS28098 ABGON COMUNICACIONES, CL
170.150.140.0/23 #AS14259 Gtd Internet S.A., CL
170.150.142.0/24 #AS14259 Gtd Internet S.A., CL
170.150.156.0/22 #AS27901 Pacifico Cable SPA., CL
170.18.1.0/24 #AS16780 Banco Santander, CL
170.18.191.0/24 #AS16780 Banco Santander, CL
170.18.20.0/24 #AS16780 Banco Santander, CL
170.18.32.0/24 #AS16780 Banco Santander, CL
170.233.152.0/24 #AS264729 BANCO DEL ESTADO DE CHILE, CL
170.233.153.0/24 #AS264730 BANCO DEL ESTADO DE CHILE, CL
170.233.192.0/22 #AS52510 MI INTERNET SPA, CL
170.238.200.0/22 #AS264814 BITRED GROUP SPA, CL
170.238.32.0/22 #AS61466 TV Cable Loncomilla S.A., CL
170.239.152.0/23 #AS263700 GIGAS HOSTING CHILE SpA, CL
170.239.188.0/22 #AS264838 INVERSIONES MYJ LTDA, CL
170.239.64.0/22 #AS14259 Gtd Internet S.A., CL
170.239.84.0/22 #AS52368 ZAM LTDA., CL
170.245.48.0/22 #AS52510 MI INTERNET SPA, CL
170.246.172.0/22 #AS265656 ANACONDAWEB S.A., CL
170.247.136.0/22 #AS264780 HomeNet LTDA, CL
170.247.164.0/22 #AS265642 INETAMERICAS COMUNICACIONES LIMITADA, CL
170.247.204.0/22 #AS264827 WIRCOM S.P.A., CL
170.247.216.0/22 #AS14259 Gtd Internet S.A., CL
170.247.92.0/22 #AS64112 PIT CHILE SP, CL
170.78.112.0/22 #AS266776 SOCIEDAD CONSULTORES EN INFORMATICA VARGAS Y COMPANIA LIMITADA, CL
170.78.252.0/22 #AS273834 GONZALO FARIAS GUERRA EIRL, CL
170.79.100.0/22 #AS264681 Sociedad de Telecomunicaciones Netsouth SPA, CL
170.79.232.0/22 #AS264806 TNA Solutions SpA, CL
170.79.40.0/22 #AS61466 TV Cable Loncomilla S.A., CL
170.80.72.0/22 #AS263826 LINETS CHILE SPA, CL
170.81.28.0/22 #AS264854 PRONTO COMUNICACIONES LIMITADA, CL
170.82.128.0/23 #AS262237 Orbyta S.A., CL
170.82.188.0/22 #AS27901 Pacifico Cable SPA., CL
170.82.225.0/24 #AS52439 OPTIC TELECOMUNICACIONES LIMITADA, CL
170.82.226.0/23 #AS52439 OPTIC TELECOMUNICACIONES LIMITADA, CL
170.84.208.0/22 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
172.99.21.0/24 #AS263702 GRUPO ZGH SPA, CL
