185.58.160.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
185.244.96.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.28.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.36.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.40.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.44.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.48.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.54.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.58.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.62.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.66.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.74.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.78.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.80.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.242.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.246.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.250.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.254.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
192.162.48.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
193.19.104.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
193.41.192.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
193.91.16.0/20 #AS12741 AS-NETIA Warszawa 02-822, PL
193.192.173.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
193.192.181.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
193.239.100.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
194.5.26.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
194.28.80.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
194.31.32.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
194.93.126.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
194.110.116.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
195.47.246.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
195.114.160.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
195.225.68.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
195.225.70.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
205.188.220.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
212.106.0.0/20 #AS12741 AS-NETIA Warszawa 02-822, PL
213.17.128.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
213.134.128.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
213.146.32.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
213.186.64.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
213.195.128.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
213.216.64.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
213.241.0.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
