185.155.176.0/22 #AS5398 INTERNETONE, IT
185.155.184.0/23 #AS5398 INTERNETONE, IT
193.221.216.0/23 #AS5398 INTERNETONE, IT
217.18.0.0/20 #AS5398 INTERNETONE, IT
192.106.196.0/23 #AS5502 Centre, IT
168.202.0.0/16 #AS5535 FAO Headquarters, IT
193.43.36.0/24 #AS5535 FAO Headquarters, IT
199.46.20.0/23 #AS5535 FAO Headquarters, IT
52.144.64.0/19 #AS5602 AS-IRIDEOS-KP, IT
62.100.76.0/23 #AS5602 AS-IRIDEOS-KP, IT
77.93.224.0/19 #AS5602 AS-IRIDEOS-KP, IT
89.186.64.0/19 #AS5602 AS-IRIDEOS-KP, IT
91.213.197.0/24 #AS5602 AS-IRIDEOS-KP, IT
94.141.0.0/19 #AS5602 AS-IRIDEOS-KP, IT
109.168.0.0/17 #AS5602 AS-IRIDEOS-KP, IT
109.238.112.0/21 #AS5602 AS-IRIDEOS-KP, IT
109.238.120.0/22 #AS5602 AS-IRIDEOS-KP, IT
193.189.112.0/23 #AS5602 AS-IRIDEOS-KP, IT
193.227.104.0/24 #AS5602 AS-IRIDEOS-KP, IT
195.43.160.0/19 #AS5602 AS-IRIDEOS-KP, IT
195.190.21.0/24 #AS5602 AS-IRIDEOS-KP, IT
212.97.32.0/19 #AS5602 AS-IRIDEOS-KP, IT
163.162.0.0/16 #AS5609 ASN-CSELT # AS-CSELT CONVERTED TO ASN-CSELT FOR RPSL COMPLIANCE, IT
185.206.84.0/23 #AS6665 SHINY-AS Corso nazionale 19, IT
185.206.86.0/24 #AS6665 SHINY-AS Corso nazionale 19, IT
194.20.232.0/21 #AS6665 SHINY-AS Corso nazionale 19, IT
194.20.240.0/21 #AS6665 SHINY-AS Corso nazionale 19, IT
2.16.19.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
2.16.70.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
2.16.220.0/22 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
2.20.109.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
2.20.110.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
2.20.112.0/22 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
2.20.242.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
2.21.2.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
5.178.40.0/21 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
5.180.177.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
14.102.16.0/22 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.12.128.0/20 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.34.64.0/20 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.38.167.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.44.51.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.49.64.0/21 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.50.176.0/20 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.55.48.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.197.56.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.197.200.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.201.80.0/21 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
23.205.48.0/22 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
37.72.135.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
46.244.111.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
50.114.16.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
50.114.156.0/22 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
50.114.205.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
50.114.207.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
51.146.191.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
51.146.211.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
62.197.136.0/21 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
64.105.230.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
64.145.26.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
64.255.12.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
66.167.76.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
67.101.32.0/19 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
67.101.144.0/20 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
67.103.96.0/19 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
67.103.128.0/19 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
67.103.176.0/20 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
77.83.132.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
77.83.134.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
78.40.62.0/23 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
79.140.80.0/20 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
82.21.9.0/24 #AS6762 SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
