192.175.48.1/32 #AS1296 University of Chili, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
186.179.80.0/20 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
190.82.64.0/18 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.42.172.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.42.176.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.42.190.0/23 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.50.96.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.50.108.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.50.124.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.144.0/23 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.146.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.153.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.154.0/23 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.156.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.160.0/20 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.176.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.181.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.182.0/23 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.184.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.188.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.193.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.194.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.196.0/23 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.54.199.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.68.1.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.68.58.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.90.176.0/23 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.90.179.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.90.188.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.90.190.0/24 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.113.0.0/20 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.113.16.0/21 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.113.32.0/19 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.113.80.0/20 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.113.96.0/19 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.113.144.0/20 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
200.113.160.0/19 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
201.236.20.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
201.236.24.0/21 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
201.236.52.0/22 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
201.236.64.0/19 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
