192.175.48.1/32 #AS1228 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
152.111.186.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.188.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.192.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.196.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.198.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.200.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.203.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.204.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.209.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.210.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.212.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.216.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.219.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.220.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.224.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.226.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.229.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.230.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.232.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.238.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.240.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.242.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.244.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.248.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.250.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.252.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.254.0/24 #AS3741 NTT-DATA-Inc, ZA
155.234.0.0/16 #AS3741 NTT-DATA-Inc, ZA
155.237.0.0/16 #AS3741 NTT-DATA-Inc, ZA
155.240.0.0/16 #AS3741 NTT-DATA-Inc, ZA
156.8.0.0/16 #AS3741 NTT-DATA-Inc, ZA
160.48.233.0/24 #AS3741 NTT-DATA-Inc, ZA
160.48.234.0/24 #AS3741 NTT-DATA-Inc, ZA
160.123.0.0/16 #AS3741 NTT-DATA-Inc, ZA
163.199.96.0/22 #AS3741 NTT-DATA-Inc, ZA
163.199.101.0/24 #AS3741 NTT-DATA-Inc, ZA
163.199.104.0/21 #AS3741 NTT-DATA-Inc, ZA
163.199.136.0/24 #AS3741 NTT-DATA-Inc, ZA
163.203.0.0/16 #AS3741 NTT-DATA-Inc, ZA
164.148.0.0/14 #AS3741 NTT-DATA-Inc, ZA
165.4.0.0/16 #AS3741 NTT-DATA-Inc, ZA
168.89.0.0/16 #AS3741 NTT-DATA-Inc, ZA
168.142.0.0/16 #AS3741 NTT-DATA-Inc, ZA
168.209.0.0/16 #AS3741 NTT-DATA-Inc, ZA
168.210.0.0/16 #AS3741 NTT-DATA-Inc, ZA
169.202.201.0/24 #AS3741 NTT-DATA-Inc, ZA
169.202.202.0/24 #AS3741 NTT-DATA-Inc, ZA
192.94.242.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.1.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.22.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.38.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.46.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.57.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.89.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.90.0/23 #AS3741 NTT-DATA-Inc, ZA
192.96.92.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.120.0/21 #AS3741 NTT-DATA-Inc, ZA
192.96.128.0/22 #AS3741 NTT-DATA-Inc, ZA
192.96.132.0/23 #AS3741 NTT-DATA-Inc, ZA
192.96.134.0/24 #AS3741 NTT-DATA-Inc, ZA
192.96.251.0/24 #AS3741 NTT-DATA-Inc, ZA
192.109.144.0/24 #AS3741 NTT-DATA-Inc, ZA
196.1.8.0/22 #AS3741 NTT-DATA-Inc, ZA
196.1.16.0/21 #AS3741 NTT-DATA-Inc, ZA
196.1.32.0/20 #AS3741 NTT-DATA-Inc, ZA
196.1.74.0/23 #AS3741 NTT-DATA-Inc, ZA
196.1.76.0/22 #AS3741 NTT-DATA-Inc, ZA
196.1.80.0/23 #AS3741 NTT-DATA-Inc, ZA
196.1.103.0/24 #AS3741 NTT-DATA-Inc, ZA
196.1.115.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.42.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.46.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.48.0/23 #AS3741 NTT-DATA-Inc, ZA
196.2.53.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.55.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.57.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.61.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.62.0/23 #AS3741 NTT-DATA-Inc, ZA
196.2.128.0/23 #AS3741 NTT-DATA-Inc, ZA
196.2.132.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.151.0/24 #AS3741 NTT-DATA-Inc, ZA
196.2.154.0/23 #AS3741 NTT-DATA-Inc, ZA
196.2.156.0/23 #AS3741 NTT-DATA-Inc, ZA
196.3.156.0/23 #AS3741 NTT-DATA-Inc, ZA
196.3.159.0/24 #AS3741 NTT-DATA-Inc, ZA
196.3.163.0/24 #AS3741 NTT-DATA-Inc, ZA
196.4.71.0/24 #AS3741 NTT-DATA-Inc, ZA
196.4.72.0/22 #AS3741 NTT-DATA-Inc, ZA
196.4.76.0/24 #AS3741 NTT-DATA-Inc, ZA
196.4.83.0/24 #AS3741 NTT-DATA-Inc, ZA
196.4.97.0/24 #AS3741 NTT-DATA-Inc, ZA
196.4.160.0/23 #AS3741 NTT-DATA-Inc, ZA
196.4.168.0/24 #AS3741 NTT-DATA-Inc, ZA
196.4.172.0/22 #AS3741 NTT-DATA-Inc, ZA
196.4.176.0/21 #AS3741 NTT-DATA-Inc, ZA
196.4.184.0/22 #AS3741 NTT-DATA-Inc, ZA
196.4.188.0/24 #AS3741 NTT-DATA-Inc, ZA
196.4.212.0/22 #AS3741 NTT-DATA-Inc, ZA
