192.175.48.1/32 #AS3460 IHEP Institute of High Energy Physics, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS3717 ERX-BUCT-NET Beijing University of Chemical Technology, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
59.81.82.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
59.81.94.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
59.81.102.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
59.81.104.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
59.83.192.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
59.83.224.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
59.83.232.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
60.0.0.0/11 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
60.208.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
60.255.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.49.86.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.49.172.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.49.184.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.49.186.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.52.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.133.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.134.96.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.134.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.135.153.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.136.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.137.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.138.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.138.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.139.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.156.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.158.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.159.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.161.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.161.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.162.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.167.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.168.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.176.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.179.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.180.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.181.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.182.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.189.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.240.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.241.64.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.241.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.241.192.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.242.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
61.243.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.16.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.50.8.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.64.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.72.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.125.0.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.125.4.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.125.6.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.125.250.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.198.196.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.199.48.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.199.196.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.204.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
101.251.144.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.3.96.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.3.112.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.3.124.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.3.136.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.3.152.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.8.33.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.8.34.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.14.132.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.24.228.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.27.240.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.28.204.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.36.28.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.36.208.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.38.40.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.40.192.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.40.232.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.43.134.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.44.80.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.45.76.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.45.160.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.56.60.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.59.124.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.63.160.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.85.84.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.90.92.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.98.44.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.110.132.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.114.100.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.116.138.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.120.224.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.123.4.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.152.76.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.163.180.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.186.4.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.189.92.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.193.188.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.197.1.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.205.192.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.205.252.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.207.228.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.211.220.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.214.48.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.219.32.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.220.240.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.221.140.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.227.120.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.227.136.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.227.228.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.229.148.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.234.56.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.236.120.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.238.160.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.239.68.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.239.244.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.240.36.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.240.84.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.240.124.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.246.152.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.248.152.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.250.32.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.250.104.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.250.216.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.250.248.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.251.96.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.251.124.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.251.160.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.251.240.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.252.248.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.253.60.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.255.92.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
106.3.208.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
106.74.24.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
110.6.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
110.16.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
110.52.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
110.72.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
110.228.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
110.240.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.85.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.160.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.202.242.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.202.244.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.202.246.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.205.38.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.205.242.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.208.121.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
111.223.12.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.73.96.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.80.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.89.172.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.109.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.111.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.122.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.132.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.192.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.224.0.0/11 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.0.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.8.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.49.0.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.56.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.58.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.59.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.194.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.200.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.204.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.213.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.213.64.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.213.96.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
113.224.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.28.134.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.28.248.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.66.236.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.66.240.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.112.200.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.112.208.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.247.44.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.255.106.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
115.31.64.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
115.46.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
115.48.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
115.85.192.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
115.173.0.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.2.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.78.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.95.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.112.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.116.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.128.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.129.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.130.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.132.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.135.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.136.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.144.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.148.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.153.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.154.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.162.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.163.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.165.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.167.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.168.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.172.64.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.172.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.174.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.176.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
116.255.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
117.8.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
117.72.255.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
117.74.64.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
117.121.132.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.26.116.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.66.248.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.72.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.80.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.88.32.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.88.64.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.88.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.191.4.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.191.8.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.191.12.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
118.212.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.4.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.36.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.38.0.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.39.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.48.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.62.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.88.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.108.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.112.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.162.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.164.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.176.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.233.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.248.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
120.0.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
120.65.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
120.72.32.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
121.16.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
121.52.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.96.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.102.64.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.114.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.136.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.156.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.188.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.192.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.4.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.8.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.117.141.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.125.29.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.128.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.138.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.144.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.148.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.152.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.188.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.232.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.66.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.67.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.88.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.128.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.152.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.160.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.240.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.32.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.240.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.243.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.244.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.247.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.248.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.251.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.252.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.254.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.35.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.36.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.40.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.211.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
139.159.112.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
139.170.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
139.208.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
144.48.64.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
146.196.68.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
150.129.136.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
150.242.232.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
150.255.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.0.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.3.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.34.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.36.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
