167.150.86.0/24 #AS209845 CNPR-NET-AS Jacob Willem de Vos, NL
45.66.32.0/23 #AS47482 SPECTRE Spectre Operations B.V., NL
146.194.0.0/18 #AS25049 STASCO-UK-AS Shell Information Technology International B.V., NL
164.136.122.0/23 #AS25049 STASCO-UK-AS Shell Information Technology International B.V., NL
164.136.124.0/24 #AS25049 STASCO-UK-AS Shell Information Technology International B.V., NL
164.136.246.0/23 #AS25049 STASCO-UK-AS Shell Information Technology International B.V., NL
45.152.248.0/24 #AS207942 IPCENTRAL GBL ICT B.V., NL
185.22.12.0/22 #AS62353 ASN-DATAPLACE Eurofiber Cloud Infra B.V., NL
185.81.8.0/22 #AS62353 ASN-DATAPLACE Eurofiber Cloud Infra B.V., NL
213.159.16.0/21 #AS62353 ASN-DATAPLACE Eurofiber Cloud Infra B.V., NL
194.213.126.0/23 #AS42585 METAREGISTRAR Metaregistrar B.V., NL
213.249.64.0/21 #AS42585 METAREGISTRAR Metaregistrar B.V., NL
213.249.92.0/22 #AS42585 METAREGISTRAR Metaregistrar B.V., NL
80.79.96.0/20 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
145.13.0.0/16 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
145.15.0.0/22 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
145.15.90.0/24 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
145.15.92.0/22 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
145.15.96.0/22 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
145.222.0.0/16 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
158.67.0.0/16 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
192.33.235.0/24 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
192.33.238.0/23 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
192.35.133.0/24 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
192.58.226.0/23 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
192.101.111.0/24 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
192.101.112.0/23 #AS21286 KPN-CORPORATE-MARKET KPN B.V., NL
