45.84.3.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
45.151.60.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
45.153.74.0/23 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
46.8.4.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
46.8.248.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
77.83.117.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
78.153.143.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
78.153.145.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
78.153.154.0/23 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.17.158.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.176.0.0/16 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.0.0/19 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.32.0/20 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.48.0/21 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.64.0/21 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.80.0/20 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.128.0/19 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.160.0/20 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
81.177.176.0/21 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
91.216.59.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
91.226.30.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
93.188.207.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
95.172.157.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
95.181.163.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
130.49.212.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
146.185.238.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
147.45.88.0/21 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
147.45.120.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
147.45.127.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
147.45.205.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.39.148.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.66.12.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.80.148.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.105.46.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.126.84.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.128.212.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.147.128.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.148.24.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.184.77.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.184.78.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.191.142.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.192.109.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.192.110.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.194.105.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.194.106.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
185.200.170.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
188.130.200.0/22 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
188.130.204.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
192.144.7.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
193.232.16.0/24 #AS8342 RTCOMM-AS JSC RTComm.RU, RU
