87.239.120.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
91.244.126.0/24 #AS204954 KSTIETO-AS Kaakkois-Suomen Tieto Oy, FI
82.196.160.0/19 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
93.190.195.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
93.190.198.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
145.251.0.0/16 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.36.44.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.71.132.0/22 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.165.101.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.165.117.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.165.118.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.176.2.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.176.131.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.176.132.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.176.148.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
192.176.162.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
193.8.32.0/22 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
193.41.168.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
193.44.76.0/22 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
193.44.172.0/22 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
194.14.63.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
194.14.66.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
194.14.70.0/23 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
194.132.39.0/24 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
213.153.96.0/19 #AS5411 TIETOEVRY-OYJ Tieto Oyj, FI
185.196.232.0/22 #AS207006 MACRONET Antti Johannes Wilhelm Brummer, FI
193.28.89.0/24 #AS207006 MACRONET Antti Johannes Wilhelm Brummer, FI
132.155.56.0/22 #AS41701 CAP-FIN-AS Capgemini Finland Oy, FI
145.247.0.0/16 #AS41701 CAP-FIN-AS Capgemini Finland Oy, FI
157.129.0.0/16 #AS41701 CAP-FIN-AS Capgemini Finland Oy, FI
192.165.244.0/24 #AS41701 CAP-FIN-AS Capgemini Finland Oy, FI
194.103.234.0/23 #AS41701 CAP-FIN-AS Capgemini Finland Oy, FI
91.233.141.0/24 #AS62254 AVARN-FI Avarn Security Oy, FI
131.228.104.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
131.228.108.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
131.228.110.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
135.245.115.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
135.245.117.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
135.245.121.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
135.245.128.0/22 #AS34414 NOKIA-APAC Nokia Oyj, FI
135.245.190.0/23 #AS34414 NOKIA-APAC Nokia Oyj, FI
203.17.66.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
203.62.196.0/24 #AS34414 NOKIA-APAC Nokia Oyj, FI
