87.239.120.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
185.40.88.0/22 #AS51728 SELTIMIL-AS Seltimil Oy, FI
185.83.204.0/22 #AS201166 BITTIGURU Bittiguru Oy, FI
31.187.84.0/22 #AS201964 EURONIC Domainkeskus Oy, FI
185.55.84.0/22 #AS201964 EURONIC Domainkeskus Oy, FI
45.152.104.0/22 #AS39699 SSPOY-AS Lounea Palvelut Oy, FI
45.156.104.0/22 #AS39699 SSPOY-AS Lounea Palvelut Oy, FI
62.121.32.0/19 #AS39699 SSPOY-AS Lounea Palvelut Oy, FI
83.148.192.0/18 #AS39699 SSPOY-AS Lounea Palvelut Oy, FI
84.240.64.0/19 #AS39699 SSPOY-AS Lounea Palvelut Oy, FI
86.60.128.0/17 #AS39699 SSPOY-AS Lounea Palvelut Oy, FI
185.132.104.0/22 #AS39699 SSPOY-AS Lounea Palvelut Oy, FI
185.43.88.0/22 #AS204002 ADITROCLOUD SD Worx Finland Oy, FI
91.92.21.0/24 #AS212112 DATAGIO-AS Vladislav Novitskii, FI
191.44.118.0/24 #AS212112 DATAGIO-AS Vladislav Novitskii, FI
213.21.245.0/24 #AS212112 DATAGIO-AS Vladislav Novitskii, FI
185.141.80.0/23 #AS203195 DTLINK DT-Link Oy, FI
193.169.100.0/23 #AS6852 UNITEDBANKERS-AS UB Omaisuudenhoito Oy, FI
129.35.31.0/24 #AS60616 IBM-FINLAND Kyndryl Finland Oy, FI
195.244.92.0/24 #AS205069 TRIUV Frendy Oy, FI
217.116.160.0/21 #AS16331 TELE-ENTRE-FI-AS Tele-entre Oy, FI
64.168.118.0/23 #AS62194 NOKIAWING Nokia Oyj, FI
135.87.2.0/23 #AS62194 NOKIAWING Nokia Oyj, FI
135.87.16.0/22 #AS62194 NOKIAWING Nokia Oyj, FI
135.87.20.0/24 #AS62194 NOKIAWING Nokia Oyj, FI
135.87.22.0/23 #AS62194 NOKIAWING Nokia Oyj, FI
135.87.32.0/22 #AS62194 NOKIAWING Nokia Oyj, FI
135.92.16.0/23 #AS62194 NOKIAWING Nokia Oyj, FI
135.92.46.0/23 #AS62194 NOKIAWING Nokia Oyj, FI
135.103.6.0/23 #AS62194 NOKIAWING Nokia Oyj, FI
135.103.17.0/24 #AS62194 NOKIAWING Nokia Oyj, FI
138.216.0.0/16 #AS214692 VALTORI-AS Valtion tieto- ja viestintatekniikkakeskus TUVE-palvelut, FI
164.141.0.0/16 #AS214692 VALTORI-AS Valtion tieto- ja viestintatekniikkakeskus TUVE-palvelut, FI
176.119.199.0/24 #AS212386 CDCTELCO Pankkih Oy, FI
193.19.136.0/22 #AS49866 LOOPBACK Loopback Oy, FI
185.193.77.0/24 #AS34541 ONLINESOLUTIONS-AS Online Solutions Oy, FI
217.112.192.0/20 #AS34541 ONLINESOLUTIONS-AS Online Solutions Oy, FI
46.149.100.0/24 #AS48346 ASJTKK Jarventaustan Kylakuituosuuskunta, FI
103.139.88.0/24 #AS214809 STOCADE Jere Kiitola trading as Stocade, FI
192.136.73.0/24 #AS6667 EUNET-FINLAND Elisa Oyj, FI
192.136.74.0/24 #AS6667 EUNET-FINLAND Elisa Oyj, FI
213.192.184.0/21 #AS6667 EUNET-FINLAND Elisa Oyj, FI
193.162.134.0/24 #AS202049 STP-AS Encrypted Email Finland Ltd, FI
185.253.52.0/24 #AS207041 INNOTEN Innovisio Oy, FI
91.202.112.0/22 #AS215776 KELA-AS Kansanelakelaitos, FI
91.223.107.0/24 #AS215776 KELA-AS Kansanelakelaitos, FI
85.194.208.0/21 #AS35175 OUKA-AS Oulun kaupunki, FI
85.194.216.0/22 #AS35175 OUKA-AS Oulun kaupunki, FI
185.117.220.0/22 #AS35175 OUKA-AS Oulun kaupunki, FI
87.76.133.0/24 #AS207306 EVERIANET Everia Oy, FI
91.90.48.0/21 #AS42122 NETHIT S1 Networks Oy, FI
139.28.184.0/22 #AS209633 SEMEL Semel Oy, FI
185.4.228.0/22 #AS199231 DATALAHTI-AS Datalahti Oy, FI
193.168.32.0/24 #AS12582 TSF-DATANET-NGD-AS Telia Finland Oyj, FI
194.76.252.0/24 #AS207797 ANYGRAAF Anygraaf Oy, FI
91.225.68.0/22 #AS197115 KEVA KEVA, FI
185.230.176.0/22 #AS60937 SAVON-ICT Savon ICT-palvelut Oy, FI
141.98.192.0/22 #AS62357 MEDNET 2M-IT Oy, FI
185.39.184.0/22 #AS62357 MEDNET 2M-IT Oy, FI
193.143.192.0/19 #AS62357 MEDNET 2M-IT Oy, FI
193.143.253.0/24 #AS62357 MEDNET 2M-IT Oy, FI
86.111.212.0/24 #AS213269 OSS Oulun Seudun Sahko Kuitu Oy, FI
109.204.128.0/19 #AS213269 OSS Oulun Seudun Sahko Kuitu Oy, FI
164.5.192.0/20 #AS213269 OSS Oulun Seudun Sahko Kuitu Oy, FI
80.248.160.0/20 #AS24713 CGI-FINLAND CGI Suomi Oy, FI
81.22.160.0/20 #AS24713 CGI-FINLAND CGI Suomi Oy, FI
185.134.88.0/22 #AS24713 CGI-FINLAND CGI Suomi Oy, FI
91.221.238.0/23 #AS29293 LUOTTOKUNTA-AS Suomen Luotto-osuuskunta, FI
45.66.160.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
45.86.66.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
45.128.60.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
45.136.117.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
45.136.124.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
45.149.115.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
50.114.220.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
77.83.247.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
77.90.176.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
77.90.187.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
81.181.173.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.21.220.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.21.233.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.21.249.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.22.230.0/23 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.22.232.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.22.249.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.23.208.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.23.239.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.24.208.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.24.211.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.24.213.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.24.218.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.24.228.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.24.236.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.24.249.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.25.217.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.25.249.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.26.225.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.26.229.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.27.223.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.29.213.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.29.237.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.29.249.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
82.115.220.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
85.208.119.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
85.209.155.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
85.209.156.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
89.125.108.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
89.125.204.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
91.132.197.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
91.221.66.0/23 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
91.233.116.0/23 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
94.26.33.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
94.26.34.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
94.26.70.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
94.26.107.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
103.99.33.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
103.99.34.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
103.101.88.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
164.138.0.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
164.138.8.0/21 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
166.0.115.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
166.0.222.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.77.216.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.103.110.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.108.107.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.112.82.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.117.118.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.204.1.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.212.149.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.217.196.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.221.163.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
185.247.140.0/23 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
193.161.204.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
193.161.246.0/23 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
194.34.132.0/22 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
213.209.132.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
213.209.148.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
217.22.227.0/24 #AS51765 CREANOVA-AS Oy Crea Nova Hosting Solution Ltd, FI
193.161.140.0/24 #AS41785 CRISU Christian Kurvinen, FI
5.133.104.0/22 #AS47605 FNE-AS FNE-Finland Oy, FI
62.220.228.0/22 #AS47605 FNE-AS FNE-Finland Oy, FI
80.208.240.0/21 #AS47605 FNE-AS FNE-Finland Oy, FI
85.194.194.0/23 #AS47605 FNE-AS FNE-Finland Oy, FI
85.194.220.0/22 #AS47605 FNE-AS FNE-Finland Oy, FI
87.236.152.0/21 #AS47605 FNE-AS FNE-Finland Oy, FI
185.31.68.0/23 #AS47605 FNE-AS FNE-Finland Oy, FI
185.38.0.0/22 #AS47605 FNE-AS FNE-Finland Oy, FI
92.42.7.0/24 #AS198118 SGN-GROUP SGN Group Oy, FI
