176.53.128.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
176.125.224.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
178.132.8.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.8.240.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.12.96.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.17.52.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.32.171.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.39.124.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.39.152.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.43.0.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.47.0.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.48.48.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.48.100.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.50.76.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.65.180.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.72.168.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.78.180.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.81.36.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.81.224.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.84.24.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.90.184.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.117.36.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.126.48.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.174.64.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.214.4.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
185.224.236.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
188.64.72.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
188.118.0.0/18 #AS8368 DSTNY-BACKBONE International Backbone, BE
193.161.203.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
193.223.99.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
193.239.190.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
193.243.150.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
194.32.168.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
194.105.58.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
194.105.62.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
195.110.54.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
195.144.64.0/19 #AS8368 DSTNY-BACKBONE International Backbone, BE
195.225.100.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
203.31.103.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
212.85.56.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
213.193.200.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
213.193.224.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
213.193.248.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
217.18.80.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
77.109.64.0/18 #AS9031 EDPNETAPP, BE
79.132.224.0/19 #AS9031 EDPNETAPP, BE
85.234.192.0/19 #AS9031 EDPNETAPP, BE
94.105.96.0/19 #AS9031 EDPNETAPP, BE
109.236.128.0/20 #AS9031 EDPNETAPP, BE
147.93.255.0/24 #AS9031 EDPNETAPP, BE
185.95.72.0/22 #AS9031 EDPNETAPP, BE
212.71.0.0/19 #AS9031 EDPNETAPP, BE
212.233.32.0/19 #AS9031 EDPNETAPP, BE
213.211.128.0/18 #AS9031 EDPNETAPP, BE
213.219.128.0/18 #AS9031 EDPNETAPP, BE
62.233.0.0/20 #AS9166 CEGEKA-HASSELT, BE
185.158.186.0/24 #AS9166 CEGEKA-HASSELT, BE
194.0.205.0/24 #AS9166 CEGEKA-HASSELT, BE
194.53.130.0/23 #AS9166 CEGEKA-HASSELT, BE
194.53.132.0/23 #AS9166 CEGEKA-HASSELT, BE
194.53.134.0/24 #AS9166 CEGEKA-HASSELT, BE
212.113.64.0/19 #AS9166 CEGEKA-HASSELT, BE
91.220.68.0/24 #AS9208 WIN, BE
185.205.232.0/22 #AS9208 WIN, BE
193.53.125.0/24 #AS9208 WIN, BE
193.58.48.0/20 #AS9208 WIN, BE
193.219.123.0/24 #AS9208 WIN, BE
212.166.0.0/18 #AS9208 WIN, BE
192.175.48.1/32 #AS9907 LOCALITEL, BE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
