192.175.48.1/32 #AS58 SSC-299-Z-58 - Shared Services Canada, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
142.131.85.0/24 #AS577 BACOM - Bell Canada, CA
142.134.7.0/24 #AS577 BACOM - Bell Canada, CA
142.134.44.0/22 #AS577 BACOM - Bell Canada, CA
142.134.57.0/24 #AS577 BACOM - Bell Canada, CA
142.134.72.0/22 #AS577 BACOM - Bell Canada, CA
142.134.152.0/22 #AS577 BACOM - Bell Canada, CA
142.134.176.0/22 #AS577 BACOM - Bell Canada, CA
142.134.192.0/21 #AS577 BACOM - Bell Canada, CA
142.134.200.0/22 #AS577 BACOM - Bell Canada, CA
142.134.212.0/22 #AS577 BACOM - Bell Canada, CA
142.134.216.0/21 #AS577 BACOM - Bell Canada, CA
142.134.224.0/22 #AS577 BACOM - Bell Canada, CA
142.134.232.0/21 #AS577 BACOM - Bell Canada, CA
142.159.0.0/16 #AS577 BACOM - Bell Canada, CA
142.162.6.0/23 #AS577 BACOM - Bell Canada, CA
142.162.8.0/22 #AS577 BACOM - Bell Canada, CA
142.162.14.0/23 #AS577 BACOM - Bell Canada, CA
142.162.28.0/23 #AS577 BACOM - Bell Canada, CA
142.162.36.0/22 #AS577 BACOM - Bell Canada, CA
142.162.56.0/21 #AS577 BACOM - Bell Canada, CA
142.162.64.0/20 #AS577 BACOM - Bell Canada, CA
142.162.92.0/22 #AS577 BACOM - Bell Canada, CA
142.162.96.0/21 #AS577 BACOM - Bell Canada, CA
142.162.108.0/22 #AS577 BACOM - Bell Canada, CA
142.162.128.0/22 #AS577 BACOM - Bell Canada, CA
142.162.152.0/22 #AS577 BACOM - Bell Canada, CA
142.162.160.0/22 #AS577 BACOM - Bell Canada, CA
142.162.180.0/22 #AS577 BACOM - Bell Canada, CA
142.162.208.0/20 #AS577 BACOM - Bell Canada, CA
142.162.236.0/22 #AS577 BACOM - Bell Canada, CA
142.162.240.0/21 #AS577 BACOM - Bell Canada, CA
142.162.252.0/22 #AS577 BACOM - Bell Canada, CA
142.163.0.0/22 #AS577 BACOM - Bell Canada, CA
142.163.16.0/21 #AS577 BACOM - Bell Canada, CA
142.163.24.0/22 #AS577 BACOM - Bell Canada, CA
142.163.32.0/22 #AS577 BACOM - Bell Canada, CA
142.163.64.0/22 #AS577 BACOM - Bell Canada, CA
142.163.72.0/21 #AS577 BACOM - Bell Canada, CA
142.163.88.0/21 #AS577 BACOM - Bell Canada, CA
142.163.96.0/22 #AS577 BACOM - Bell Canada, CA
142.163.128.0/21 #AS577 BACOM - Bell Canada, CA
142.163.136.0/22 #AS577 BACOM - Bell Canada, CA
142.163.144.0/21 #AS577 BACOM - Bell Canada, CA
142.163.160.0/22 #AS577 BACOM - Bell Canada, CA
142.163.198.0/23 #AS577 BACOM - Bell Canada, CA
142.166.8.0/23 #AS577 BACOM - Bell Canada, CA
142.166.20.0/23 #AS577 BACOM - Bell Canada, CA
142.166.32.0/22 #AS577 BACOM - Bell Canada, CA
142.166.80.0/22 #AS577 BACOM - Bell Canada, CA
142.166.92.0/22 #AS577 BACOM - Bell Canada, CA
142.166.140.0/22 #AS577 BACOM - Bell Canada, CA
142.166.156.0/24 #AS577 BACOM - Bell Canada, CA
142.166.188.0/23 #AS577 BACOM - Bell Canada, CA
142.166.192.0/20 #AS577 BACOM - Bell Canada, CA
142.166.222.0/23 #AS577 BACOM - Bell Canada, CA
142.166.224.0/22 #AS577 BACOM - Bell Canada, CA
142.166.229.0/24 #AS577 BACOM - Bell Canada, CA
142.166.233.0/24 #AS577 BACOM - Bell Canada, CA
142.166.236.0/23 #AS577 BACOM - Bell Canada, CA
142.167.8.0/21 #AS577 BACOM - Bell Canada, CA
142.167.16.0/22 #AS577 BACOM - Bell Canada, CA
142.167.24.0/21 #AS577 BACOM - Bell Canada, CA
142.167.32.0/21 #AS577 BACOM - Bell Canada, CA
142.167.60.0/22 #AS577 BACOM - Bell Canada, CA
142.167.64.0/20 #AS577 BACOM - Bell Canada, CA
142.167.80.0/22 #AS577 BACOM - Bell Canada, CA
142.167.88.0/21 #AS577 BACOM - Bell Canada, CA
142.167.112.0/22 #AS577 BACOM - Bell Canada, CA
142.167.132.0/22 #AS577 BACOM - Bell Canada, CA
142.167.144.0/21 #AS577 BACOM - Bell Canada, CA
142.167.176.0/22 #AS577 BACOM - Bell Canada, CA
142.167.200.0/21 #AS577 BACOM - Bell Canada, CA
142.167.208.0/23 #AS577 BACOM - Bell Canada, CA
142.167.210.0/24 #AS577 BACOM - Bell Canada, CA
142.167.228.0/22 #AS577 BACOM - Bell Canada, CA
142.167.252.0/22 #AS577 BACOM - Bell Canada, CA
142.170.0.0/16 #AS577 BACOM - Bell Canada, CA
142.177.20.0/22 #AS577 BACOM - Bell Canada, CA
142.177.50.0/24 #AS577 BACOM - Bell Canada, CA
142.177.72.0/22 #AS577 BACOM - Bell Canada, CA
142.177.84.0/22 #AS577 BACOM - Bell Canada, CA
142.177.96.0/22 #AS577 BACOM - Bell Canada, CA
142.177.112.0/23 #AS577 BACOM - Bell Canada, CA
142.177.116.0/23 #AS577 BACOM - Bell Canada, CA
142.177.118.0/24 #AS577 BACOM - Bell Canada, CA
142.177.124.0/22 #AS577 BACOM - Bell Canada, CA
142.177.136.0/22 #AS577 BACOM - Bell Canada, CA
142.177.188.0/23 #AS577 BACOM - Bell Canada, CA
142.177.208.0/22 #AS577 BACOM - Bell Canada, CA
142.177.224.0/22 #AS577 BACOM - Bell Canada, CA
142.177.232.0/22 #AS577 BACOM - Bell Canada, CA
142.177.242.0/23 #AS577 BACOM - Bell Canada, CA
142.177.244.0/22 #AS577 BACOM - Bell Canada, CA
142.180.0.0/14 #AS577 BACOM - Bell Canada, CA
142.184.0.0/14 #AS577 BACOM - Bell Canada, CA
142.188.0.0/15 #AS577 BACOM - Bell Canada, CA
142.198.0.0/16 #AS577 BACOM - Bell Canada, CA
142.202.84.0/22 #AS577 BACOM - Bell Canada, CA
142.217.0.0/16 #AS577 BACOM - Bell Canada, CA
142.225.48.0/24 #AS577 BACOM - Bell Canada, CA
143.223.138.0/23 #AS577 BACOM - Bell Canada, CA
156.34.36.0/22 #AS577 BACOM - Bell Canada, CA
156.34.40.0/22 #AS577 BACOM - Bell Canada, CA
156.34.48.0/21 #AS577 BACOM - Bell Canada, CA
156.34.60.0/22 #AS577 BACOM - Bell Canada, CA
156.34.64.0/22 #AS577 BACOM - Bell Canada, CA
156.34.88.0/22 #AS577 BACOM - Bell Canada, CA
156.34.180.0/22 #AS577 BACOM - Bell Canada, CA
156.34.204.0/22 #AS577 BACOM - Bell Canada, CA
156.34.208.0/20 #AS577 BACOM - Bell Canada, CA
156.34.244.0/22 #AS577 BACOM - Bell Canada, CA
156.57.40.0/22 #AS577 BACOM - Bell Canada, CA
156.57.52.0/22 #AS577 BACOM - Bell Canada, CA
156.57.56.0/22 #AS577 BACOM - Bell Canada, CA
156.57.104.0/22 #AS577 BACOM - Bell Canada, CA
156.57.120.0/21 #AS577 BACOM - Bell Canada, CA
156.57.128.0/19 #AS577 BACOM - Bell Canada, CA
156.57.160.0/21 #AS577 BACOM - Bell Canada, CA
159.2.20.0/22 #AS577 BACOM - Bell Canada, CA
159.2.24.0/21 #AS577 BACOM - Bell Canada, CA
159.2.48.0/21 #AS577 BACOM - Bell Canada, CA
159.2.64.0/19 #AS577 BACOM - Bell Canada, CA
159.2.140.0/22 #AS577 BACOM - Bell Canada, CA
159.2.144.0/21 #AS577 BACOM - Bell Canada, CA
159.2.176.0/20 #AS577 BACOM - Bell Canada, CA
159.2.228.0/22 #AS577 BACOM - Bell Canada, CA
