159.148.179.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.180.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.204.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.216.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.218.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.234.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.241.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.246.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.248.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
185.7.236.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
185.27.94.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
185.47.92.0/22 #AS210906 BITE-US UAB Bite Lietuva, LT
185.211.96.0/22 #AS210906 BITE-US UAB Bite Lietuva, LT
188.64.180.0/22 #AS210906 BITE-US UAB Bite Lietuva, LT
217.69.121.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
217.69.125.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
217.69.126.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
80.77.164.0/22 #AS28917 FIORD-AS Fiord Networks UAB, LT
81.95.42.0/24 #AS28917 FIORD-AS Fiord Networks UAB, LT
91.247.185.0/24 #AS28917 FIORD-AS Fiord Networks UAB, LT
94.232.224.0/21 #AS39067 ETANETAS ETANETAS UAB, LT
185.160.143.0/24 #AS39067 ETANETAS ETANETAS UAB, LT
45.11.190.0/24 #AS213476 LITLINK Litlink UAB, LT
74.81.67.0/24 #AS213476 LITLINK Litlink UAB, LT
82.21.169.0/24 #AS213476 LITLINK Litlink UAB, LT
82.22.17.0/24 #AS213476 LITLINK Litlink UAB, LT
82.22.29.0/24 #AS213476 LITLINK Litlink UAB, LT
82.24.120.0/24 #AS213476 LITLINK Litlink UAB, LT
82.26.113.0/24 #AS213476 LITLINK Litlink UAB, LT
82.39.232.0/24 #AS213476 LITLINK Litlink UAB, LT
82.41.140.0/24 #AS213476 LITLINK Litlink UAB, LT
82.47.217.0/24 #AS213476 LITLINK Litlink UAB, LT
82.47.230.0/24 #AS213476 LITLINK Litlink UAB, LT
82.163.0.0/24 #AS213476 LITLINK Litlink UAB, LT
84.75.138.0/24 #AS213476 LITLINK Litlink UAB, LT
84.75.157.0/24 #AS213476 LITLINK Litlink UAB, LT
84.75.162.0/24 #AS213476 LITLINK Litlink UAB, LT
84.75.183.0/24 #AS213476 LITLINK Litlink UAB, LT
84.75.192.0/24 #AS213476 LITLINK Litlink UAB, LT
84.75.205.0/24 #AS213476 LITLINK Litlink UAB, LT
89.28.234.0/24 #AS213476 LITLINK Litlink UAB, LT
89.117.84.0/24 #AS213476 LITLINK Litlink UAB, LT
91.186.194.0/24 #AS213476 LITLINK Litlink UAB, LT
91.199.168.0/24 #AS213476 LITLINK Litlink UAB, LT
95.214.179.0/24 #AS213476 LITLINK Litlink UAB, LT
102.129.250.0/24 #AS213476 LITLINK Litlink UAB, LT
104.250.187.0/24 #AS213476 LITLINK Litlink UAB, LT
140.99.116.0/23 #AS213476 LITLINK Litlink UAB, LT
140.99.205.0/24 #AS213476 LITLINK Litlink UAB, LT
140.233.182.0/24 #AS213476 LITLINK Litlink UAB, LT
140.233.187.0/24 #AS213476 LITLINK Litlink UAB, LT
