41.199.54.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.56.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.64.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.97.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.98.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.102.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.104.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.112.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.120.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.124.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.126.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.128.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.160.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.176.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.184.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.192.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.196.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.199.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.241.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.242.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.244.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.248.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.222.128.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.0.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.24.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.48.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.56.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.72.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.96.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.112.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.120.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.126.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.128.0/18 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.192.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.224.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.240.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.248.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.252.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.114.254.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.0.0/17 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.128.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.160.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.168.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.172.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.176.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.192.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
62.139.232.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
