94.190.208.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
94.190.224.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
103.233.232.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
112.118.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
112.120.0.0/16 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.6.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.55.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.167.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.179.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.180.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.184.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.190.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.192.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.253.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.254.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
116.48.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
119.236.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
125.214.217.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
154.88.80.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
154.213.16.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
156.225.160.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
168.70.0.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
168.70.176.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
173.248.239.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.202.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.204.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.215.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.216.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.220.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.69.78.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.69.81.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.69.88.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
