203.196.255.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.197.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.199.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.200.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.201.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.208.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.212.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.220.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.224.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.229.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.231.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.249.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.201.252.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.128.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.178.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.186.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.188.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.227.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.228.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.237.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.239.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.240.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.243.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.244.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
210.211.247.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.64.0.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.64.88.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.64.94.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.64.96.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.64.192.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.64.207.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.64.224.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.65.32.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.65.64.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.65.96.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.65.112.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.65.116.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
219.65.120.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
14.139.15.0/24 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
43.239.62.0/24 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
45.118.16.0/20 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
45.118.52.0/24 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
45.127.75.0/24 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
45.249.124.0/22 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
103.70.96.0/23 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
