106.103.186.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
106.103.189.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
106.103.191.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
106.103.192.0/18 #AS3786 LGDACOM LG DACOM Corporation, KR
106.240.0.0/12 #AS3786 LGDACOM LG DACOM Corporation, KR
110.45.128.0/17 #AS3786 LGDACOM LG DACOM Corporation, KR
110.232.96.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.1.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.2.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.7.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.29.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.52.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.56.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.60.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.63.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.72.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.75.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.80.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.85.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.88.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.101.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.107.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.108.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.112.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.114.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.155.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.158.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.160.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.164.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.167.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.168.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.170.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.197.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.198.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.200.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.208.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.211.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.212.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.216.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
112.76.220.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
112.108.7.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
112.216.0.0/13 #AS3786 LGDACOM LG DACOM Corporation, KR
113.198.74.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
113.198.76.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
113.198.80.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
113.198.88.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
113.198.172.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
113.198.175.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
113.198.180.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.34.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.36.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.50.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.52.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.56.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.152.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.164.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.70.208.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.12.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
114.71.19.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
