116.111.200.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.224.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.240.0/23 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.244.0/23 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
125.214.0.0/18 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
171.242.6.0/24 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
203.190.160.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
192.175.48.1/32 #AS24087 VIETBRANDS-VN VIETBRANDS COMPANY LIMITED, VN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
14.0.16.0/20 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.19.220.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.71.104.0/23 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.88.112.0/21 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.130.208.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.235.212.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.238.68.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.238.72.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
103.244.136.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
116.118.56.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
160.250.76.0/23 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
165.99.200.0/23 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
202.60.104.0/21 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
202.93.156.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
203.128.240.0/21 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
203.209.180.0/22 #AS24088 HTCHCMC-AS-VN Hanoi Telecom Joint Stock Company - HCMC Branch, VN
