192.175.48.1/32 #AS7199 Internet de Colombia S.A, CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7437 Rednet, CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7953 Supernet S.A., CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7997 UNE EPM TELECOMUNICACIONES S.A., CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.4.16.0/20 #AS8026 EMPRESA COLOMBIANA DE PETROLEOS, ECOPETROL, CO
192.175.48.1/32 #AS8054 Ticsa, CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS8096 R Computadores, CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
186.121.0.0/17 #AS8163 Metrotel SA ESP, CO
190.1.128.0/18 #AS8163 Metrotel SA ESP, CO
190.182.0.0/17 #AS8163 Metrotel SA ESP, CO
200.89.96.0/19 #AS8163 Metrotel SA ESP, CO
201.220.64.0/19 #AS8163 Metrotel SA ESP, CO
45.183.196.0/24 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
131.108.168.0/22 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
138.122.201.0/24 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
138.122.202.0/23 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
168.227.0.0/22 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
170.81.24.0/22 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
186.27.128.0/18 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
186.27.192.0/20 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
186.27.224.0/19 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
190.1.192.0/18 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
190.99.128.0/19 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
190.99.176.0/20 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
190.99.192.0/18 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
200.14.112.0/23 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
200.29.96.0/19 #AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P., CO
192.175.48.1/32 #AS10502 IFX NETWORKS COLOMBIA, CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
181.49.72.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.0.0/19 #AS10620 Telmex Colombia S.A., CO
181.50.32.0/23 #AS10620 Telmex Colombia S.A., CO
181.50.36.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.40.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.48.0/20 #AS10620 Telmex Colombia S.A., CO
181.50.64.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.68.0/24 #AS10620 Telmex Colombia S.A., CO
181.50.80.0/20 #AS10620 Telmex Colombia S.A., CO
181.50.96.0/20 #AS10620 Telmex Colombia S.A., CO
181.50.112.0/21 #AS10620 Telmex Colombia S.A., CO
181.50.120.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.128.0/23 #AS10620 Telmex Colombia S.A., CO
181.50.136.0/21 #AS10620 Telmex Colombia S.A., CO
181.50.144.0/21 #AS10620 Telmex Colombia S.A., CO
181.50.156.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.160.0/20 #AS10620 Telmex Colombia S.A., CO
181.50.180.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.184.0/21 #AS10620 Telmex Colombia S.A., CO
181.50.192.0/21 #AS10620 Telmex Colombia S.A., CO
181.50.212.0/22 #AS10620 Telmex Colombia S.A., CO
181.50.216.0/21 #AS10620 Telmex Colombia S.A., CO
181.50.224.0/19 #AS10620 Telmex Colombia S.A., CO
181.51.0.0/20 #AS10620 Telmex Colombia S.A., CO
181.51.16.0/22 #AS10620 Telmex Colombia S.A., CO
181.51.24.0/21 #AS10620 Telmex Colombia S.A., CO
181.51.32.0/19 #AS10620 Telmex Colombia S.A., CO
181.51.64.0/21 #AS10620 Telmex Colombia S.A., CO
181.51.72.0/23 #AS10620 Telmex Colombia S.A., CO
181.51.76.0/22 #AS10620 Telmex Colombia S.A., CO
181.51.80.0/20 #AS10620 Telmex Colombia S.A., CO
