212.102.123.0/24 #AS208410 ARTKOM ARTKOM.NET LLC, AZ
94.20.80.0/24 #AS213881 OUR OUR Technology LLC, AZ
94.20.140.0/23 #AS213881 OUR OUR Technology LLC, AZ
194.213.119.0/24 #AS213881 OUR OUR Technology LLC, AZ
91.240.27.0/24 #AS198876 SOCAR STATE OIL COMPANY OF THE REPUBLIC OF AZERBAIJAN, AZ
89.147.192.0/18 #AS39397 AZ-METRONET-AS Metronet LLC, AZ
185.34.72.0/24 #AS39397 AZ-METRONET-AS Metronet LLC, AZ
185.34.74.0/23 #AS39397 AZ-METRONET-AS Metronet LLC, AZ
185.40.176.0/22 #AS39397 AZ-METRONET-AS Metronet LLC, AZ
31.170.240.0/21 #AS200446 AZ-SELNET SELNET LLC, AZ
31.171.48.0/20 #AS200446 AZ-SELNET SELNET LLC, AZ
31.171.68.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
31.171.72.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
31.171.80.0/20 #AS200446 AZ-SELNET SELNET LLC, AZ
62.212.229.0/24 #AS200446 AZ-SELNET SELNET LLC, AZ
85.132.108.0/24 #AS200446 AZ-SELNET SELNET LLC, AZ
85.132.110.0/24 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.54.0/24 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.123.0/24 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.148.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.172.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.180.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.192.0/23 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.204.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
94.20.208.0/21 #AS200446 AZ-SELNET SELNET LLC, AZ
95.86.164.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
95.86.168.0/22 #AS200446 AZ-SELNET SELNET LLC, AZ
193.42.156.0/24 #AS200446 AZ-SELNET SELNET LLC, AZ
46.32.179.0/24 #AS204986 SPARKTEL Sparktel LLC, AZ
185.233.180.0/22 #AS204986 SPARKTEL Sparktel LLC, AZ
5.197.255.0/24 #AS213402 RAHATTELECOM-AS Rahat Telecom LLC, AZ
195.216.230.0/24 #AS213402 RAHATTELECOM-AS Rahat Telecom LLC, AZ
109.104.102.0/24 #AS211143 AZL Azerlotereya Open Joint Stock Company, AZ
188.213.212.0/24 #AS199444 HMC-DC-PL HMC Company LLC, AZ
194.39.241.0/24 #AS199444 HMC-DC-PL HMC Company LLC, AZ
37.32.71.0/24 #AS214990 AZ-GOLINE GO LINE LLC, AZ
31.171.64.0/23 #AS50959 BEEONLINE-AS BEEONLINE OJSC, AZ
31.171.66.0/24 #AS50959 BEEONLINE-AS BEEONLINE OJSC, AZ
45.15.43.0/24 #AS50959 BEEONLINE-AS BEEONLINE OJSC, AZ
91.216.134.0/24 #AS50959 BEEONLINE-AS BEEONLINE OJSC, AZ
31.171.104.0/22 #AS207251 CASPEL CASPEL LLC, AZ
85.132.32.0/22 #AS207251 CASPEL CASPEL LLC, AZ
85.132.42.0/24 #AS207251 CASPEL CASPEL LLC, AZ
85.132.45.0/24 #AS207251 CASPEL CASPEL LLC, AZ
109.235.194.0/23 #AS207251 CASPEL CASPEL LLC, AZ
109.235.196.0/24 #AS207251 CASPEL CASPEL LLC, AZ
185.161.224.0/22 #AS207251 CASPEL CASPEL LLC, AZ
95.86.128.0/21 #AS34876 SMART-SYSTEMS SMART SISTEMZ TECHNOLOJI MMM, AZ
95.86.137.0/24 #AS34876 SMART-SYSTEMS SMART SISTEMZ TECHNOLOJI MMM, AZ
95.86.138.0/23 #AS34876 SMART-SYSTEMS SMART SISTEMZ TECHNOLOJI MMM, AZ
95.86.140.0/24 #AS34876 SMART-SYSTEMS SMART SISTEMZ TECHNOLOJI MMM, AZ
95.86.142.0/23 #AS34876 SMART-SYSTEMS SMART SISTEMZ TECHNOLOJI MMM, AZ
95.86.144.0/21 #AS34876 SMART-SYSTEMS SMART SISTEMZ TECHNOLOJI MMM, AZ
95.86.152.0/22 #AS34876 SMART-SYSTEMS SMART SISTEMZ TECHNOLOJI MMM, AZ
62.164.144.0/24 #AS213398 FIBERNET Fibernet LLC, AZ
89.23.124.0/24 #AS213398 FIBERNET Fibernet LLC, AZ
89.40.30.0/24 #AS213398 FIBERNET Fibernet LLC, AZ
91.234.235.0/24 #AS213398 FIBERNET Fibernet LLC, AZ
194.164.224.0/24 #AS213398 FIBERNET Fibernet LLC, AZ
5.199.19.0/24 #AS205547 FLEXNET Flexnet LLC, AZ
46.32.168.0/24 #AS205547 FLEXNET Flexnet LLC, AZ
46.32.174.0/24 #AS205547 FLEXNET Flexnet LLC, AZ
91.209.225.0/24 #AS205547 FLEXNET Flexnet LLC, AZ
185.40.35.0/24 #AS205547 FLEXNET Flexnet LLC, AZ
5.134.48.0/20 #AS39232 UNINET Uninet LLC, AZ
37.26.0.0/18 #AS39232 UNINET Uninet LLC, AZ
37.114.128.0/18 #AS39232 UNINET Uninet LLC, AZ
46.18.64.0/21 #AS39232 UNINET Uninet LLC, AZ
78.109.48.0/21 #AS39232 UNINET Uninet LLC, AZ
78.111.48.0/20 #AS39232 UNINET Uninet LLC, AZ
89.219.36.0/22 #AS39232 UNINET Uninet LLC, AZ
89.219.40.0/21 #AS39232 UNINET Uninet LLC, AZ
89.219.48.0/20 #AS39232 UNINET Uninet LLC, AZ
89.219.132.0/23 #AS39232 UNINET Uninet LLC, AZ
89.219.155.0/24 #AS39232 UNINET Uninet LLC, AZ
89.219.156.0/22 #AS39232 UNINET Uninet LLC, AZ
89.219.160.0/24 #AS39232 UNINET Uninet LLC, AZ
89.219.163.0/24 #AS39232 UNINET Uninet LLC, AZ
89.219.164.0/22 #AS39232 UNINET Uninet LLC, AZ
89.219.169.0/24 #AS39232 UNINET Uninet LLC, AZ
89.219.170.0/23 #AS39232 UNINET Uninet LLC, AZ
89.219.172.0/22 #AS39232 UNINET Uninet LLC, AZ
89.219.176.0/20 #AS39232 UNINET Uninet LLC, AZ
91.242.0.0/19 #AS39232 UNINET Uninet LLC, AZ
109.239.16.0/20 #AS39232 UNINET Uninet LLC, AZ
178.237.64.0/20 #AS39232 UNINET Uninet LLC, AZ
185.18.244.0/22 #AS39232 UNINET Uninet LLC, AZ
185.40.156.0/22 #AS39232 UNINET Uninet LLC, AZ
185.80.172.0/22 #AS39232 UNINET Uninet LLC, AZ
185.81.80.0/21 #AS39232 UNINET Uninet LLC, AZ
188.227.208.0/20 #AS39232 UNINET Uninet LLC, AZ
217.25.16.0/20 #AS39232 UNINET Uninet LLC, AZ
85.132.120.0/24 #AS196961 TELEPORT-NET Teleport LLC, AZ
109.205.160.0/21 #AS196961 TELEPORT-NET Teleport LLC, AZ
5.252.48.0/22 #AS209374 CBAR-AZ The Central Bank of the Republic of Azerbaijan, AZ
185.12.16.0/22 #AS61304 CONNECTAZ-AS Connect CJSC, AZ
38.27.37.0/24 #AS209360 BULUD Bulud Telecom LLC, AZ
46.32.177.0/24 #AS209360 BULUD Bulud Telecom LLC, AZ
130.193.74.0/24 #AS209360 BULUD Bulud Telecom LLC, AZ
154.61.82.0/24 #AS209360 BULUD Bulud Telecom LLC, AZ
193.105.123.0/24 #AS209360 BULUD Bulud Telecom LLC, AZ
217.14.96.0/20 #AS15815 INTRANS-AS INTRA Network Systems Ltd, AZ
37.32.77.0/24 #AS200154 IZONE-AS IZONE LLC, AZ
37.32.79.0/24 #AS200154 IZONE-AS IZONE LLC, AZ
46.32.163.0/24 #AS200154 IZONE-AS IZONE LLC, AZ
46.32.176.0/24 #AS200154 IZONE-AS IZONE LLC, AZ
95.86.136.0/24 #AS200154 IZONE-AS IZONE LLC, AZ
185.32.44.0/22 #AS200154 IZONE-AS IZONE LLC, AZ
185.40.32.0/23 #AS200154 IZONE-AS IZONE LLC, AZ
217.18.88.0/24 #AS204016 ABBBANK International Bank of Azerbaijan OJSC, AZ
37.61.0.0/17 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
81.17.80.0/20 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
188.253.128.0/19 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
188.253.208.0/20 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
188.253.254.0/23 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
194.135.172.0/22 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
194.135.176.0/22 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
213.154.0.0/19 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
217.64.16.0/20 #AS28787 AS-AZTELEKOM Aztelekom LLC, AZ
37.32.76.0/24 #AS216231 AZ-HYPERNET Alnet LLC, AZ
85.132.127.0/24 #AS213670 TTNET-AZ TTNET LLC, AZ
195.133.33.0/24 #AS215017 V6ONLYNET EMIRASLAN EMIRASLANOV, AZ
82.194.0.0/20 #AS29584 AZEDUNET-AS AZEDUNET LLC, AZ
5.191.240.0/20 #AS200729 MCIT AzInTelecom LLC, AZ
85.132.83.0/24 #AS200729 MCIT AzInTelecom LLC, AZ
94.20.86.0/24 #AS200729 MCIT AzInTelecom LLC, AZ
185.96.124.0/22 #AS200729 MCIT AzInTelecom LLC, AZ
185.143.196.0/22 #AS200729 MCIT AzInTelecom LLC, AZ
188.72.128.0/18 #AS200729 MCIT AzInTelecom LLC, AZ
45.136.164.0/22 #AS208439 FIBERON-ISP-AS Fiberon LLC, AZ
80.69.52.0/24 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
80.69.54.0/23 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
80.69.58.0/23 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
80.69.61.0/24 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
80.69.62.0/23 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
91.135.245.0/24 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
91.135.246.0/23 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
91.135.248.0/22 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
91.135.254.0/23 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
92.39.88.0/23 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
92.39.95.0/24 #AS8814 AS-AZTELEKOM Aztelekom LLC, AZ
