130.225.0.0/16 #AS1835 FSKNET-DK Forskningsnettet - Danish network for Research and Education, XX
130.226.0.0/16 #AS1835 FSKNET-DK Forskningsnettet - Danish network for Research and Education, XX
192.38.0.0/17 #AS1835 FSKNET-DK Forskningsnettet - Danish network for Research and Education, XX
193.3.238.0/24 #AS1835 FSKNET-DK Forskningsnettet - Danish network for Research and Education, XX
193.163.46.0/24 #AS1835 FSKNET-DK Forskningsnettet - Danish network for Research and Education, XX
192.82.157.0/24 #AS1112 MONTANUNIVERSITAET-LEOBEN Montanuniversitaet Leoben, XX
131.222.129.0/24 #AS2578 AS2578 Demos Moscow Russia, XX
138.124.179.0/24 #AS2578 AS2578 Demos Moscow Russia, XX
145.249.108.0/24 #AS2578 AS2578 Demos Moscow Russia, XX
153.56.137.0/24 #AS2578 AS2578 Demos Moscow Russia, XX
154.119.82.0/24 #AS21144 AS21144 Unknown AS 21144, XX
185.166.8.0/24 #AS56788 SCHLICHTNER2 In(n) Energie GmbH, XX
91.244.69.0/24 #AS59593 SQUID Kyrychenko Vadym Hryhoriyovych, XX
147.112.0.0/16 #AS1770 RINGSTADAS Ringstad Consulting ENK, XX
195.177.202.0/23 #AS1770 RINGSTADAS Ringstad Consulting ENK, XX
195.22.150.0/23 #AS20955 PROQUEST-UK Proquest Information and Learning Ltd, XX
12.30.20.0/24 #AS46145 HELMERICH-AND-PAYNE-INC Helmerich & Payne, Inc., XX
24.248.240.0/24 #AS46145 HELMERICH-AND-PAYNE-INC Helmerich & Payne, Inc., XX
75.77.31.0/24 #AS46145 HELMERICH-AND-PAYNE-INC Helmerich & Payne, Inc., XX
166.1.130.0/24 #AS395265 AKMATORI Akmatori, Inc., XX
192.171.112.0/23 #AS1907 IPSERV Single Source Network Systems, Inc., XX
157.181.0.0/16 #AS2012 ELTENET ELTENET, XX
192.153.18.0/24 #AS2012 ELTENET ELTENET, XX
214.25.86.0/23 #AS5994 DNIC-ASBLK-0-06055 DoD Network Information Center, XX
214.25.88.0/21 #AS5994 DNIC-ASBLK-0-06055 DoD Network Information Center, XX
214.27.200.0/21 #AS5994 DNIC-ASBLK-0-06055 DoD Network Information Center, XX
149.148.0.0/16 #AS2494 MUWNET MUWNET Autonomous System, XX
103.169.0.0/23 #AS142325 IDNIC-TERALINK-ID PT. Teralink Djava Multimedia, XX
103.29.43.0/24 #AS56281 PENDAL-AP Pendal Group Limited, XX
43.226.56.0/21 #AS151300 CHINA-INTERNET-NETWORK China Internet Network Information Center, XX
43.226.112.0/22 #AS151300 CHINA-INTERNET-NETWORK China Internet Network Information Center, XX
43.226.128.0/23 #AS151300 CHINA-INTERNET-NETWORK China Internet Network Information Center, XX
43.227.70.0/23 #AS151300 CHINA-INTERNET-NETWORK China Internet Network Information Center, XX
103.187.22.0/23 #AS149821 HOSTTIER-AP HOSTTIER, XX
103.165.182.0/23 #AS138913 EDGECENTRES-AP Edge Centres, XX
41.220.48.0/20 #AS36900 AS36900 Unknown AS 36900, XX
102.219.32.0/22 #AS328887 BLUETOWNGHANA Bluetown Ghana Ltd, XX
5.28.192.0/18 #AS1273 CW Vodafone Group PLC, XX
37.18.144.0/22 #AS1273 CW Vodafone Group PLC, XX
37.18.148.0/23 #AS1273 CW Vodafone Group PLC, XX
45.12.208.0/23 #AS1273 CW Vodafone Group PLC, XX
45.12.210.0/24 #AS1273 CW Vodafone Group PLC, XX
46.108.112.0/21 #AS1273 CW Vodafone Group PLC, XX
46.108.232.0/24 #AS1273 CW Vodafone Group PLC, XX
46.108.235.0/24 #AS1273 CW Vodafone Group PLC, XX
46.190.137.0/24 #AS1273 CW Vodafone Group PLC, XX
46.190.254.0/24 #AS1273 CW Vodafone Group PLC, XX
47.73.0.0/16 #AS1273 CW Vodafone Group PLC, XX
62.25.64.0/18 #AS1273 CW Vodafone Group PLC, XX
62.208.0.0/16 #AS1273 CW Vodafone Group PLC, XX
62.213.128.0/23 #AS1273 CW Vodafone Group PLC, XX
62.213.156.0/22 #AS1273 CW Vodafone Group PLC, XX
62.221.0.0/19 #AS1273 CW Vodafone Group PLC, XX
62.233.55.0/24 #AS1273 CW Vodafone Group PLC, XX
63.130.0.0/16 #AS1273 CW Vodafone Group PLC, XX
64.69.160.0/19 #AS1273 CW Vodafone Group PLC, XX
82.203.12.0/22 #AS1273 CW Vodafone Group PLC, XX
82.203.16.0/21 #AS1273 CW Vodafone Group PLC, XX
84.246.136.0/24 #AS1273 CW Vodafone Group PLC, XX
84.246.138.0/24 #AS1273 CW Vodafone Group PLC, XX
84.246.142.0/23 #AS1273 CW Vodafone Group PLC, XX
85.205.0.0/16 #AS1273 CW Vodafone Group PLC, XX
87.81.0.0/20 #AS1273 CW Vodafone Group PLC, XX
103.141.68.0/24 #AS1273 CW Vodafone Group PLC, XX
108.179.120.0/21 #AS1273 CW Vodafone Group PLC, XX
139.47.192.0/18 #AS1273 CW Vodafone Group PLC, XX
141.1.0.0/16 #AS1273 CW Vodafone Group PLC, XX
141.227.38.0/23 #AS1273 CW Vodafone Group PLC, XX
146.162.33.0/24 #AS1273 CW Vodafone Group PLC, XX
146.162.34.0/24 #AS1273 CW Vodafone Group PLC, XX
146.162.37.0/24 #AS1273 CW Vodafone Group PLC, XX
146.162.38.0/23 #AS1273 CW Vodafone Group PLC, XX
146.162.240.0/23 #AS1273 CW Vodafone Group PLC, XX
146.222.210.0/24 #AS1273 CW Vodafone Group PLC, XX
146.222.214.0/24 #AS1273 CW Vodafone Group PLC, XX
146.249.0.0/16 #AS1273 CW Vodafone Group PLC, XX
148.252.1.0/24 #AS1273 CW Vodafone Group PLC, XX
148.252.2.0/24 #AS1273 CW Vodafone Group PLC, XX
148.252.5.0/24 #AS1273 CW Vodafone Group PLC, XX
148.252.6.0/24 #AS1273 CW Vodafone Group PLC, XX
148.253.0.0/23 #AS1273 CW Vodafone Group PLC, XX
158.41.32.0/21 #AS1273 CW Vodafone Group PLC, XX
159.197.0.0/17 #AS1273 CW Vodafone Group PLC, XX
164.143.220.0/23 #AS1273 CW Vodafone Group PLC, XX
166.63.160.0/19 #AS1273 CW Vodafone Group PLC, XX
