23.27.98.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.113.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.119.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.120.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.123.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.124.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.126.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.140.0/22 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.163.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.164.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.168.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.175.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.176.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.186.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.199.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.200.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.202.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.240.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.244.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.230.239.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
38.95.173.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
38.211.230.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
38.225.209.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
38.226.20.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
38.246.69.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
38.246.70.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
38.246.72.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
45.38.248.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
45.134.36.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
45.194.27.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
45.195.69.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
