192.175.48.1/32 #AS711 SB-COMM-AS - Torrejon Air Base, ES - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
194.143.192.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.194.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.197.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.198.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.200.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.202.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.204.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.208.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.211.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.212.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.216.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.219.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
194.143.220.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.1.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.10.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.12.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.15.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.17.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.19.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.20.0/22 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.40.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.43.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.44.0/22 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.48.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.52.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.55.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.56.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.59.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.60.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
213.220.63.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
93.190.152.0/22 #AS8318 CMX-AS, ES
5.180.228.0/22 #AS8637 SPAINWISP SpainWISP, S.L., ES
45.83.50.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
80.66.112.0/22 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
80.66.117.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
80.66.118.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
80.66.120.0/22 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
80.66.124.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
84.18.0.0/19 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
89.42.70.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
89.44.150.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
91.132.28.0/23 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
91.132.31.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
92.60.160.0/20 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
94.198.47.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
136.238.211.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
149.7.217.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
154.44.190.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
154.56.149.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
154.58.219.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
