103.102.48.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.102.54.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.103.4.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.103.216.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.104.8.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.106.12.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.108.80.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.108.84.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.140.224.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.141.38.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.142.56.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.142.104.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.142.178.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.143.104.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.145.202.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.145.212.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.149.24.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.152.80.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.122.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.124.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.128.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.132.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.168.136.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.169.16.0/20 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.169.230.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.175.210.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.183.60.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.183.186.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.183.250.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.186.10.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.150.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.152.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.156.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.187.184.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
