193.87.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
194.160.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
5.59.10.0/24 #AS202564 ITCITY ITcity s.r.o., SK
45.66.54.0/24 #AS202564 ITCITY ITcity s.r.o., SK
134.19.136.0/21 #AS16354 TIMES-NETWORKS-NET TIMES NETWORKS s.r.o., SK
171.22.96.0/22 #AS16354 TIMES-NETWORKS-NET TIMES NETWORKS s.r.o., SK
185.30.120.0/22 #AS16354 TIMES-NETWORKS-NET TIMES NETWORKS s.r.o., SK
194.1.222.0/23 #AS16354 TIMES-NETWORKS-NET TIMES NETWORKS s.r.o., SK
195.160.182.0/23 #AS16354 TIMES-NETWORKS-NET TIMES NETWORKS s.r.o., SK
152.89.16.0/22 #AS209998 ACTIVENET ActiveNet s.r.o., SK
185.177.4.0/22 #AS206759 SYTRA Sytra s.r.o., SK
185.144.96.0/24 #AS201890 EHS EHS s.r.o., SK
188.123.112.0/22 #AS201890 EHS EHS s.r.o., SK
37.61.160.0/20 #AS57710 KOREX-AS KOREX networks s.r.o., SK
185.235.200.0/22 #AS57710 KOREX-AS KOREX networks s.r.o., SK
80.242.44.0/22 #AS196900 AXALNET-AS Axalnet s.r.o., SK
80.242.42.0/24 #AS204365 ARTOS-AS ARTOS a.s., SK
5.59.35.0/24 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
5.59.168.0/24 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
5.59.186.0/23 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
5.59.199.0/24 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
80.242.40.0/24 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
87.244.192.0/18 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
91.148.0.0/18 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
185.152.112.0/22 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
185.171.140.0/22 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
185.218.28.0/22 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
185.242.56.0/22 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
193.161.112.0/22 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
193.187.56.0/21 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
212.6.32.0/24 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
212.37.64.0/19 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
217.119.112.0/20 #AS31117 ENERGOTEL-AS ENERGOTEL a.s., SK
5.42.151.0/24 #AS207084 SLAVCONET Slavconet s.r.o., SK
212.37.64.0/23 #AS41899 SEAS-SK-AS Slovenske elektrarne a.s., SK
185.250.12.0/22 #AS200355 CADCANET CadcaNet plus s. r. o., SK
87.239.56.0/21 #AS29148 ASSURANY SURANY.NET s.r.o., SK
91.221.110.0/23 #AS29148 ASSURANY SURANY.NET s.r.o., SK
147.78.56.0/22 #AS29148 ASSURANY SURANY.NET s.r.o., SK
185.228.212.0/22 #AS29148 ASSURANY SURANY.NET s.r.o., SK
194.127.100.0/24 #AS29148 ASSURANY SURANY.NET s.r.o., SK
194.127.106.0/24 #AS29148 ASSURANY SURANY.NET s.r.o., SK
194.127.129.0/24 #AS29148 ASSURANY SURANY.NET s.r.o., SK
194.127.135.0/24 #AS29148 ASSURANY SURANY.NET s.r.o., SK
185.160.108.0/22 #AS49460 FILLECK Filleck s.r.o., SK
85.135.128.0/17 #AS8257 SLOVANET-BROADBAND Slovanet a.s., SK
176.61.192.0/18 #AS8257 SLOVANET-BROADBAND Slovanet a.s., SK
178.253.128.0/18 #AS8257 SLOVANET-BROADBAND Slovanet a.s., SK
185.37.240.0/22 #AS8257 SLOVANET-BROADBAND Slovanet a.s., SK
188.112.64.0/18 #AS8257 SLOVANET-BROADBAND Slovanet a.s., SK
185.177.8.0/22 #AS44452 NETIQ netIQ s.r.o., SK
85.248.152.0/22 #AS48473 TOWERCOM-SK-AS Towercom a.s., SK
91.209.247.0/24 #AS48473 TOWERCOM-SK-AS Towercom a.s., SK
185.14.116.0/22 #AS48473 TOWERCOM-SK-AS Towercom a.s., SK
185.254.248.0/22 #AS204058 SK-FIBRIS Fibris s.r.o., SK
193.3.242.0/24 #AS204058 SK-FIBRIS Fibris s.r.o., SK
212.81.16.0/24 #AS24727 SPP-AS Slovensky plynarensky priemysel a.s., SK
62.169.160.0/20 #AS24744 SINET-SK-AS SiNET Telecom s.r.o., SK
62.169.182.0/23 #AS24744 SINET-SK-AS SiNET Telecom s.r.o., SK
80.242.32.0/21 #AS44234 GAYA-AS Gaya s.r.o., SK
185.251.120.0/22 #AS44234 GAYA-AS Gaya s.r.o., SK
213.215.105.0/24 #AS44234 GAYA-AS Gaya s.r.o., SK
82.119.228.0/23 #AS34462 DITEC-AS DITEC a.s., SK
152.89.19.0/24 #AS207437 CHOICE CHOICE s.r.o., SK
185.172.104.0/23 #AS206909 NMH-AS News and Media Holding a.s., SK
91.236.82.0/24 #AS198543 SK-JOJ-ASN MAC TV s.r.o., SK
