103.225.140.0/22 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
122.102.110.0/23 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
175.158.108.0/22 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
202.20.110.0/24 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
203.55.25.0/24 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
103.204.117.0/24 #AS134980 INTERPHONEPTYLTD-AS-AP Interphone Pty Ltd, AU
103.210.154.0/23 #AS134980 INTERPHONEPTYLTD-AS-AP Interphone Pty Ltd, AU
103.210.192.0/24 #AS134980 INTERPHONEPTYLTD-AS-AP Interphone Pty Ltd, AU
103.86.93.0/24 #AS135105 ZMS-AS-AP ZEARA MANAGED SERVICES PTY LTD, AU
163.223.176.0/23 #AS136181 ACTIVEPORT-AS-AP ActivePort Pty Ltd, AU
203.210.92.0/23 #AS154250 LUMUS-AS-AP Lumus Imaging (New South Wales/ACT) Pty Ltd, AU
155.60.0.0/16 #AS10235 NAB-AS-AP National Australia Bank Limited, AU
164.53.0.0/16 #AS10235 NAB-AS-AP National Australia Bank Limited, AU
203.8.32.0/19 #AS10235 NAB-AS-AP National Australia Bank Limited, AU
203.57.240.0/23 #AS10235 NAB-AS-AP National Australia Bank Limited, AU
203.15.96.0/21 #AS7550 SBS-AS-AU Special Broadcasting Services Corporation, AU
103.146.152.0/23 #AS139891 ONEWIFI-AS-AP OneWiFi & Infrastructure, AU
103.20.22.0/23 #AS24510 HOLMESGLEN-INSTITUTE-OF-TAFE-AP Optus Customer Network, AU
103.20.48.0/24 #AS24510 HOLMESGLEN-INSTITUTE-OF-TAFE-AP Optus Customer Network, AU
203.33.133.0/24 #AS24510 HOLMESGLEN-INSTITUTE-OF-TAFE-AP Optus Customer Network, AU
203.9.35.0/24 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
203.9.114.0/24 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
203.9.116.0/23 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
203.9.119.0/24 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
203.9.121.0/24 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
203.9.122.0/23 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
203.9.124.0/22 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
203.11.81.0/24 #AS139661 TTPL-AS-AP Toll Transport Pty Ltd., AU
27.50.8.0/23 #AS131214 IHPL-AS-AP Interact Hosting Pty Ltd, AU
103.19.170.0/23 #AS131214 IHPL-AS-AP Interact Hosting Pty Ltd, AU
103.73.112.0/23 #AS131214 IHPL-AS-AP Interact Hosting Pty Ltd, AU
103.154.29.0/24 #AS141002 NETWORK1-AS-AP Network Technologies Queensland Pty Ltd, AU
103.152.196.0/23 #AS140885 FADEDSERVERS1-AS-AP FADEDSERVERS PTY LTD, AU
194.50.5.0/24 #AS140885 FADEDSERVERS1-AS-AP FADEDSERVERS PTY LTD, AU
103.142.40.0/23 #AS139597 WBP-AS-AP Wellcamp Business Park Pty Ltd, AU
182.54.224.0/22 #AS55486 NETWORX-AS-AP Networx Australia, AU
103.81.54.0/24 #AS136135 HAILEYBURY-AS-AP Haileybury, AU
161.248.184.0/23 #AS153536 OSIE-VN Osie Cloud LLC, AU
103.215.12.0/24 #AS9479 OTG-AU Operations & Technology Group Pty Ltd, AU
103.246.51.0/24 #AS9479 OTG-AU Operations & Technology Group Pty Ltd, AU
103.246.128.0/24 #AS9479 OTG-AU Operations & Technology Group Pty Ltd, AU
103.250.63.0/24 #AS9479 OTG-AU Operations & Technology Group Pty Ltd, AU
103.141.114.0/24 #AS135287 TCOTCOS-AS-AP The Council of the City of Sydney, AU
103.212.66.0/24 #AS135287 TCOTCOS-AS-AP The Council of the City of Sydney, AU
103.228.212.0/22 #AS133435 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
103.79.124.0/22 #AS136001 CHRISTIE-AS-AP CHRISTIE SYSTEMS SERVICES PTY LTD, AU
202.179.132.0/22 #AS136001 CHRISTIE-AS-AP CHRISTIE SYSTEMS SERVICES PTY LTD, AU
36.50.144.0/23 #AS152181 PIRPL-AS-AP Professional IT Resources Pty Ltd, AU
202.83.77.0/24 #AS142143 WESLEY-AS-AP WESLEY MISSION QUEENSLAND, AU
103.148.220.0/24 #AS140231 EZINTERNETPTYLTD-AS-AP EZINTERNET PTY LTD, AU
103.167.249.0/24 #AS140231 EZINTERNETPTYLTD-AS-AP EZINTERNET PTY LTD, AU
103.234.14.0/23 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
124.246.0.0/21 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
124.246.16.0/21 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
138.252.168.0/23 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
202.44.170.0/24 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
203.30.197.0/24 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
203.34.109.0/24 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
203.91.64.0/21 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
210.0.112.0/21 #AS63850 ENTRUSTICT-AS-AP Entrust ICT, AU
103.176.220.0/23 #AS149025 CURNIEPTYLTD-AS-AP Curnie Pty Ltd, AU
139.86.0.0/16 #AS45213 USQNET-AS-AP University of Southern Queensland, AU
103.187.120.0/23 #AS140505 RIPPLENETWORKSPTYLTD-AS-AP Ripple Networks, AU
103.107.207.0/24 #AS137421 VFM-AS-AP Victoria Funds Management, AU
43.245.176.0/22 #AS58505 KOHENTECH-AS-AP Kohen Technology Group Pty Ltd, AU
103.4.172.0/23 #AS58505 KOHENTECH-AS-AP Kohen Technology Group Pty Ltd, AU
103.13.84.0/23 #AS58505 KOHENTECH-AS-AP Kohen Technology Group Pty Ltd, AU
203.90.24.0/22 #AS4858 CORPITA-AS-AP Corpita Pty Ltd, AU
203.90.29.0/24 #AS4858 CORPITA-AS-AP Corpita Pty Ltd, AU
43.230.108.0/22 #AS58907 AAPPL-AS-AP Acquire Asia Pacific Pty Ltd, AU
103.249.140.0/22 #AS58907 AAPPL-AS-AP Acquire Asia Pacific Pty Ltd, AU
103.148.222.0/23 #AS131197 FORTRESSESPORTS-AS-AP FORTRESS ESPORTS PTY. LTD., AU
118.127.64.0/19 #AS18117 NTTIP-AS-AP NTT Australia Solutions Pty Ltd, AU
