192.175.48.1/32 #AS6945 SVNet, SV - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
190.150.202.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.205.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.206.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.208.0/20 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.224.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.232.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.238.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.240.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.248.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.252.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.254.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.12.226.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.12.229.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.12.230.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.12.232.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.12.234.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.12.237.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.161.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.168.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.172.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.174.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.180.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.184.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.186.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.189.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.13.190.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.30.131.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.30.138.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.30.152.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.30.171.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.30.179.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.106.232.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
200.106.234.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
205.211.226.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
205.211.228.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
